name	x	y	z	size	group	hemisphere
RA1	12.8	-5.9	-16.2	2	seeg	right
RA2	16.1	-5.9	-15.7	2	seeg	right
RA3	19.3	-5.9	-15.2	2	seeg	right
RA4	22.6	-5.9	-14.7	2	seeg	right
RA5	25.8	-6	-14.2	2	seeg	right
RA6	29	-6	-13.7	2	seeg	right
RA7	32.3	-6	-13.2	2	seeg	right
RA8	35.5	-6	-12.7	2	seeg	right
RA9	38.8	-6	-12.2	2	seeg	right
RA10	42	-6	-11.7	2	seeg	right
RA11	45.2	-6.1	-11.2	2	seeg	right
RA12	48.5	-6.1	-10.7	2	seeg	right
RA13	51.7	-6.1	-10.2	2	seeg	right
RA14	55	-6.1	-9.7	2	seeg	right
RAH1	16.9	-11.8	-17.3	2	seeg	right
RAH2	20.1	-11.5	-17.7	2	seeg	right
RAH3	23.3	-11.2	-18	2	seeg	right
RAH4	26.5	-11	-18.4	2	seeg	right
RAH5	29.7	-10.7	-18.8	2	seeg	right
RAH6	33	-10.4	-19.1	2	seeg	right
RAH7	36.2	-10.1	-19.5	2	seeg	right
RAH8	39.4	-9.9	-19.8	2	seeg	right
RAH9	42.6	-9.6	-20.2	2	seeg	right
RAH10	45.8	-9.3	-20.6	2	seeg	right
RAH11	49	-9	-20.9	2	seeg	right
RAH12	52.2	-8.7	-21.3	2	seeg	right
RTP1	25.6	13.9	-32.9	2	seeg	right
RTP2	28.9	14.2	-32.7	2	seeg	right
RTP3	32.1	14.4	-32.5	2	seeg	right
RTP4	35.4	14.6	-32.3	2	seeg	right
RTP5	38.6	14.9	-32.2	2	seeg	right
RTP6	41.9	15.1	-32	2	seeg	right
RAHET1	29.5	-20.5	-12.6	2	seeg	right
RAHET2	32.8	-20.3	-12.5	2	seeg	right
RAHET3	36	-20.2	-12.4	2	seeg	right
RAHET4	39.2	-20	-12.3	2	seeg	right
RAHET5	42.4	-19.9	-12.1	2	seeg	right
RAHET6	45.7	-19.7	-12	2	seeg	right
RAHET7	48.9	-19.5	-11.9	2	seeg	right
RAHET8	52.1	-19.4	-11.8	2	seeg	right
RAHET9	55.3	-19.2	-11.7	2	seeg	right
RAHET10	58.6	-19.1	-11.5	2	seeg	right
RAHET11	61.8	-18.9	-11.4	2	seeg	right
RAHET12	65	-18.7	-11.3	2	seeg	right
RAHET13	68.2	-18.6	-11.1	2	seeg	right
RAHET14	71.4	-18.4	-11	2	seeg	right
RPHET1	25.7	-41.1	6	2	seeg	right
RPHET2	28.1	-41.8	8.1	2	seeg	right
RPHET3	30.6	-42.4	10.2	2	seeg	right
RPHET4	33.1	-43.1	12.3	2	seeg	right
RPHET5	35.5	-43.8	14.4	2	seeg	right
RPHET6	38	-44.5	16.5	2	seeg	right
RPHET7	40.4	-45.2	18.5	2	seeg	right
RPHET8	42.9	-45.9	20.6	2	seeg	right
RPHET9	45.4	-46.6	22.7	2	seeg	right
RPHET10	47.8	-47.3	24.8	2	seeg	right
RPHET11	50.3	-47.9	26.9	2	seeg	right
RPHET12	52.7	-48.6	29	2	seeg	right
RPHET13	55.2	-49.3	31.1	2	seeg	right
RPHET14	57.7	-50	33.2	2	seeg	right
RPHET15	60.1	-50.7	35.2	2	seeg	right
RPHET16	62.6	-51.4	37.3	2	seeg	right
RSTG1	35.4	-9.6	-10	2	seeg	right
RSTG2	38.6	-9.4	-8.9	2	seeg	right
RSTG3	41.8	-9.2	-7.8	2	seeg	right
RSTG4	45	-8.9	-6.7	2	seeg	right
RSTG5	48.1	-8.7	-5.6	2	seeg	right
RSTG6	51.3	-8.5	-4.5	2	seeg	right
RSTG7	54.5	-8.3	-3.4	2	seeg	right
RSTG8	57.7	-8.1	-2.3	2	seeg	right
RPOF1	15.9	28.6	-5.9	2	seeg	right
RPOF2	19.1	27.6	-3.3	2	seeg	right
RPOF3	22.4	26.6	-0.7	2	seeg	right
RPOF4	25.6	25.5	1.9	2	seeg	right
RPOF5	28.8	24.5	4.4	2	seeg	right
RPOF6	32	23.5	7	2	seeg	right
RPOF7	35.2	22.5	9.6	2	seeg	right
RPOF8	38.4	21.5	12.2	2	seeg	right
RPOF9	41.6	20.5	14.8	2	seeg	right
RPOF10	44.8	19.5	17.3	2	seeg	right
RPOF11	48.1	18.5	19.9	2	seeg	right
RPOF12	51.3	17.5	22.5	2	seeg	right
RPOF13	54.5	16.4	25.1	2	seeg	right
RPOF14	57.7	15.4	27.7	2	seeg	right
RPOF15	60.9	14.4	30.3	2	seeg	right
RPOF16	64.1	13.4	32.8	2	seeg	right
RMC1	3.1	-5.1	35	2	seeg	right
RMC2	6.1	-4.7	36.3	2	seeg	right
RMC3	9	-4.3	37.5	2	seeg	right
RMC4	11.9	-3.8	38.8	2	seeg	right
RMC5	14.9	-3.4	40.1	2	seeg	right
RMC6	17.8	-3	41.3	2	seeg	right
RMC7	20.7	-2.6	42.6	2	seeg	right
RMC8	23.6	-2.1	43.8	2	seeg	right
RMC9	26.6	-1.7	45.1	2	seeg	right
RMC10	29.5	-1.3	46.3	2	seeg	right
RMC11	32.4	-0.9	47.6	2	seeg	right
RMC12	35.4	-0.4	48.8	2	seeg	right
RMC13	38.3	0	50.1	2	seeg	right
RMC14	41.2	0.5	51.4	2	seeg	right
RPC1	9.8	-34.4	31.6	2	seeg	right
RPC2	13.5	-34	32.4	2	seeg	right
RPC3	17.1	-33.6	33.3	2	seeg	right
RPC4	20.8	-33.3	34.2	2	seeg	right
RPC5	24.5	-32.9	35.1	2	seeg	right
RPC6	28.2	-32.5	36	2	seeg	right
RPC7	31.9	-32.2	36.9	2	seeg	right
RPC8	35.6	-31.8	37.7	2	seeg	right
RPC9	39.3	-31.5	38.6	2	seeg	right
RPC10	43	-31.1	39.5	2	seeg	right
RPC11	46.6	-30.7	40.4	2	seeg	right
RPC12	50.3	-30.4	41.3	2	seeg	right
RPC13	54	-30	42.2	2	seeg	right
RPC14	57.7	-29.6	43	2	seeg	right
RPC15	61.4	-29.3	43.9	2	seeg	right
RPC16	65.1	-28.9	44.8	2	seeg	right
RAIN1	36.2	0.9	-3.9	2	seeg	right
RAIN2	36.5	3.2	-1.4	2	seeg	right
RAIN3	36.8	5.5	1.2	2	seeg	right
RAIN4	37	7.7	3.7	2	seeg	right
RAIN5	37.3	10	6.3	2	seeg	right
RAIN6	37.6	12.3	8.8	2	seeg	right
RAIN7	37.8	14.6	11.4	2	seeg	right
RAIN8	38.1	16.9	13.9	2	seeg	right
RAIN9	38.3	19.1	16.4	2	seeg	right
RAIN10	38.6	21.4	19	2	seeg	right
RAIN11	38.9	23.7	21.5	2	seeg	right
RAIN12	39.1	25.9	24.1	2	seeg	right
RAIN13	39.4	28.2	26.6	2	seeg	right
RAIN14	39.6	30.5	29.2	2	seeg	right
RPIN1	33.8	6.2	-6.5	2	seeg	right
RPIN2	32.7	2.2	-1.5	2	seeg	right
RPIN3	31.6	-1.6	3.6	2	seeg	right
RPIN4	30.5	-5	8.6	2	seeg	right
RPIN5	29.4	-8.5	13.6	2	seeg	right
RPIN6	28.2	-11.9	18.6	2	seeg	right
RPIN7	27.1	-15.3	23.7	2	seeg	right
RPIN8	26	-18.8	28.7	2	seeg	right
RPIN9	24.9	-22.2	33.7	2	seeg	right
RPIN10	23.8	-25.8	38.7	2	seeg	right
RPIN11	22.7	-29.4	43.7	2	seeg	right
RPIN12	21.6	-32.9	48.8	2	seeg	right
RPIN13	20.5	-36.5	53.8	2	seeg	right
RPIN14	19.4	-40.1	58.8	2	seeg	right
RPIN15	18.3	-43.7	63.8	2	seeg	right
RPIN16	17.1	-47.3	68.8	2	seeg	right
LPOF1	-35.1	18.2	13.8	2	seeg	left
LPOF2	-38.4	18.6	14.4	2	seeg	left
LPOF3	-41.7	19	15	2	seeg	left
LPOF4	-45	19.4	15.6	2	seeg	left
LPOF5	-48.3	19.8	16.2	2	seeg	left
LPOF6	-51.6	20.2	16.8	2	seeg	left
LPOF7	-54.9	20.6	17.4	2	seeg	left
LPOF8	-58.2	21	18	2	seeg	left
LPOF9	-61.6	21.4	18.6	2	seeg	left
LPOF10	-64.9	21.8	19.2	2	seeg	left
