name	x	y	z	size	group	hemisphere
LA1	-20.9	1.5	-17.1	2	seeg	left
LA2	-24.4	1.5	-17.3	2	seeg	left
LA3	-28	1.5	-17.5	2	seeg	left
LA4	-31.5	1.5	-17.7	2	seeg	left
LA5	-35.1	1.5	-17.9	2	seeg	left
LA6	-38.6	1.5	-18.1	2	seeg	left
LA7	-42.1	1.5	-18.3	2	seeg	left
LA8	-45.7	1.5	-18.5	2	seeg	left
LAH1	-20	-4.2	-13.7	2	seeg	left
LAH2	-23.6	-4.5	-14.1	2	seeg	left
LAH3	-27.3	-4.7	-14.4	2	seeg	left
LAH4	-31	-5	-14.8	2	seeg	left
LAH5	-34.6	-5.3	-15.2	2	seeg	left
LAH6	-38.3	-5.5	-15.6	2	seeg	left
LAH7	-41.9	-5.8	-15.9	2	seeg	left
LAH8	-45.6	-6	-16.3	2	seeg	left
LAH9	-49.2	-6.3	-16.7	2	seeg	left
LAH10	-52.9	-6.5	-17.1	2	seeg	left
LPH1	-28.5	-17.6	-9.3	2	seeg	left
LPH2	-32	-17.9	-8.7	2	seeg	left
LPH3	-35.4	-18.2	-8	2	seeg	left
LPH4	-38.9	-18.4	-7.3	2	seeg	left
LPH5	-42.3	-18.7	-6.7	2	seeg	left
LPH6	-45.8	-19	-6	2	seeg	left
LPH7	-49.2	-19.3	-5.3	2	seeg	left
LPH8	-52.7	-19.6	-4.6	2	seeg	left
LPH9	-56.1	-19.9	-4	2	seeg	left
LPH10	-59.6	-20.2	-3.3	2	seeg	left
LTP1	-36.1	10.7	-33.4	2	seeg	left
LTP2	-35.9	4.9	-30.3	2	seeg	left
LTP3	-35.7	-0.8	-27.3	2	seeg	left
LTP4	-35.5	-6.4	-24.2	2	seeg	left
LTP5	-35.3	-12.1	-21.2	2	seeg	left
LTP6	-35.1	-17.7	-18.1	2	seeg	left
LTP7	-34.9	-23.4	-15.1	2	seeg	left
LTP8	-34.7	-29.3	-12	2	seeg	left
LTP9	-34.5	-35.2	-8.9	2	seeg	left
LTP10	-34.3	-41.2	-5.9	2	seeg	left
LTP11	-34.1	-47.1	-2.8	2	seeg	left
LTP12	-33.9	-53	0.2	2	seeg	left
LTP13	-33.7	-59	3.5	2	seeg	left
LTP14	-33.5	-64.9	6.7	2	seeg	left
LTP15	-33.3	-70.8	9.9	2	seeg	left
LTP16	-33.1	-76.7	13.1	2	seeg	left
LSTG1	-36.9	-4.9	4	2	seeg	left
LSTG2	-40.2	-4.7	3	2	seeg	left
LSTG3	-43.5	-4.6	1.9	2	seeg	left
LSTG4	-46.8	-4.4	0.9	2	seeg	left
LSTG5	-50.2	-4.3	-0.1	2	seeg	left
LSTG6	-53.5	-4.2	-1	2	seeg	left
LSTG7	-56.8	-4	-2	2	seeg	left
LSTG8	-60.1	-3.9	-3	2	seeg	left
LSMIN1	-32.7	-9.2	12.4	2	seeg	left
LSMIN2	-35.8	-7.8	13	2	seeg	left
LSMIN3	-38.9	-6.5	13.7	2	seeg	left
LSMIN4	-42	-5.1	14.3	2	seeg	left
LSMIN5	-45.2	-3.8	15	2	seeg	left
LSMIN6	-48.3	-2.4	15.7	2	seeg	left
LSMIN7	-51.4	-1.1	16.3	2	seeg	left
LSMIN8	-54.6	0.3	17	2	seeg	left
LAOF1	-3.5	58.9	-13.3	2	seeg	left
LAOF2	-6.4	57.5	-11.8	2	seeg	left
LAOF3	-9.3	56.1	-10.3	2	seeg	left
LAOF4	-12.3	54.7	-8.8	2	seeg	left
LAOF5	-15.2	53.3	-7.3	2	seeg	left
LAOF6	-18.1	51.8	-5.8	2	seeg	left
LAOF7	-21.1	50.4	-4.4	2	seeg	left
LAOF8	-24	49	-2.9	2	seeg	left
LAOF9	-26.9	47.6	-1.4	2	seeg	left
LAOF10	-29.9	46.2	0.1	2	seeg	left
LAOF11	-32.8	44.8	1.7	2	seeg	left
LAOF12	-35.8	43.4	3.2	2	seeg	left
LAOF13	-38.7	42	4.8	2	seeg	left
LAOF14	-41.6	40.6	6.4	2	seeg	left
LAOF15	-44.6	39.2	7.9	2	seeg	left
LAOF16	-47.5	37.8	9.5	2	seeg	left
LPOF1	-10.6	20.3	-13.8	2	seeg	left
LPOF2	-13.4	19.7	-11.6	2	seeg	left
LPOF3	-16.1	19	-9.4	2	seeg	left
LPOF4	-18.8	18.4	-7.2	2	seeg	left
LPOF5	-21.5	17.7	-5.1	2	seeg	left
LPOF6	-24.2	17.1	-2.9	2	seeg	left
LPOF7	-26.9	16.4	-0.7	2	seeg	left
LPOF8	-29.6	15.8	1.6	2	seeg	left
LPOF9	-32.3	15.2	3.9	2	seeg	left
LPOF10	-35	14.5	6.2	2	seeg	left
LPOF11	-37.7	13.9	8.5	2	seeg	left
LPOF12	-40.4	13.2	10.8	2	seeg	left
LPOF13	-43.1	12.6	13.1	2	seeg	left
LPOF14	-45.8	11.9	15.4	2	seeg	left
LPOF15	-48.5	11.3	17.7	2	seeg	left
LPOF16	-51.3	10.6	20.1	2	seeg	left
LFO1	-32.3	-14.9	23.3	2	seeg	left
LFO2	-35.7	-14.7	24.1	2	seeg	left
LFO3	-39.2	-14.6	25	2	seeg	left
LFO4	-42.6	-14.5	25.9	2	seeg	left
LFO5	-46	-14.3	26.8	2	seeg	left
LFO6	-49.5	-14.2	27.7	2	seeg	left
LFO7	-52.9	-14.1	28.5	2	seeg	left
LFO8	-56.3	-13.9	29.4	2	seeg	left
LPC1	-0.7	-36.1	33.1	2	seeg	left
LPC2	-4.6	-36.2	31.9	2	seeg	left
LPC3	-8.6	-36.4	30.6	2	seeg	left
LPC4	-12.5	-36.5	29.4	2	seeg	left
LPC5	-16.5	-36.7	28.2	2	seeg	left
LPC6	-20.4	-36.8	26.9	2	seeg	left
