name	x	y	z	size	group	hemisphere
RA1	16.9	-5.9	-18	2	seeg	right
RA2	21.9	-6.3	-16.7	2	seeg	right
RA3	26.8	-6.7	-15.3	2	seeg	right
RA4	31.8	-7.1	-13.9	2	seeg	right
RA5	36.8	-7.4	-12.5	2	seeg	right
RA6	41.7	-7.9	-11.2	2	seeg	right
RA7	46.7	-8.3	-9.8	2	seeg	right
RA8	51.6	-8.6	-8.4	2	seeg	right
RA9	56.6	-9	-7.1	2	seeg	right
RA10	61.5	-9.4	-5.7	2	seeg	right
RAH1	19.1	-12	-15.7	2	seeg	right
RAH2	24.1	-12.7	-15.7	2	seeg	right
RAH3	29.2	-13.5	-15.8	2	seeg	right
RAH4	34.2	-14.3	-15.8	2	seeg	right
RAH5	39.3	-15.1	-15.8	2	seeg	right
RAH6	44.3	-15.9	-15.9	2	seeg	right
RAH7	49.4	-16.7	-15.9	2	seeg	right
RAH8	54.5	-17.4	-16	2	seeg	right
RAH9	59.5	-18.2	-16	2	seeg	right
RAH10	64.6	-19	-16	2	seeg	right
RBT1	27	-7.2	-30.7	2	seeg	right
RBT2	32.1	-7.9	-30.3	2	seeg	right
RBT3	37.2	-8.6	-29.8	2	seeg	right
RBT4	42.3	-9.3	-29.4	2	seeg	right
RBT5	47.4	-10	-28.9	2	seeg	right
RBT6	52.5	-10.7	-28.5	2	seeg	right
RBT7	57.6	-11.4	-28	2	seeg	right
RBT8	62.7	-12.2	-27.6	2	seeg	right
RTP1	26.7	13.2	-34.2	2	seeg	right
RTP2	31.3	12.2	-32.3	2	seeg	right
RTP3	35.9	11.2	-30.3	2	seeg	right
RTP4	40.6	10.2	-28.4	2	seeg	right
RTP5	45.2	9.2	-26.4	2	seeg	right
RTP6	49.8	8.2	-24.5	2	seeg	right
RTP7	54.4	7.2	-22.5	2	seeg	right
RTP8	59.1	6.2	-20.5	2	seeg	right
RAC1	6.9	34.9	4.9	2	seeg	right
RAC2	12	34.1	5.1	2	seeg	right
RAC3	17	33.2	5.3	2	seeg	right
RAC4	22.1	32.4	5.5	2	seeg	right
RAC5	27.1	31.5	5.7	2	seeg	right
RAC6	32.2	30.7	5.8	2	seeg	right
RAC7	37.2	29.8	6	2	seeg	right
RAC8	42.3	29	6.2	2	seeg	right
RAC9	47.4	28.1	6.4	2	seeg	right
RAC10	52.4	27.3	6.6	2	seeg	right
RAC11	57.5	26.4	6.8	2	seeg	right
RAC12	62.5	25.6	7	2	seeg	right
RMC1	8.9	15.4	25.8	2	seeg	right
RMC2	14	15.8	26.1	2	seeg	right
RMC3	19.1	16.1	26.4	2	seeg	right
RMC4	24.3	16.5	26.8	2	seeg	right
RMC5	29.4	16.9	27.1	2	seeg	right
RMC6	34.5	17.2	27.4	2	seeg	right
RMC7	39.6	17.6	27.8	2	seeg	right
RMC8	44.8	17.9	28.1	2	seeg	right
RMC9	49.9	18.3	28.5	2	seeg	right
RMC10	55	18.6	28.8	2	seeg	right
RPC1	6.8	-3.4	36.4	2	seeg	right
RPC2	11.9	-3.5	36.4	2	seeg	right
RPC3	17.1	-3.5	36.4	2	seeg	right
RPC4	22.3	-3.6	36.4	2	seeg	right
RPC5	27.4	-3.6	36.5	2	seeg	right
RPC6	32.6	-3.6	36.5	2	seeg	right
RPC7	37.8	-3.7	36.5	2	seeg	right
RPC8	42.9	-3.7	36.6	2	seeg	right
RPC9	48.1	-3.7	36.6	2	seeg	right
RPC10	53.3	-3.8	36.6	2	seeg	right
RPC11	58.4	-3.8	36.7	2	seeg	right
RPC12	63.6	-3.9	36.7	2	seeg	right
RAIN1	32.4	5.4	-6	2	seeg	right
RAIN2	32.4	6.4	-1.2	2	seeg	right
RAIN3	32.3	7.5	4.1	2	seeg	right
RAIN4	32.2	8.5	9.4	2	seeg	right
RAIN5	32.1	9.6	14.8	2	seeg	right
RAIN6	32	10.6	20.2	2	seeg	right
RAIN7	32	11.7	25.5	2	seeg	right
RAIN8	31.9	12.7	30.9	2	seeg	right
RAIN9	31.8	13.8	36.2	2	seeg	right
RAIN10	31.7	14.8	41.6	2	seeg	right
RAIN11	31.6	15.9	46.9	2	seeg	right
RAIN12	31.6	16.9	52.3	2	seeg	right
RAIN13	31.5	18	57.7	2	seeg	right
RAIN14	31.4	19	63	2	seeg	right
RPIN1	36.9	-1.6	-3.2	2	seeg	right
RPIN2	36.1	-4.1	0.6	2	seeg	right
RPIN3	35.2	-6.7	4.7	2	seeg	right
RPIN4	34.4	-9.2	8.9	2	seeg	right
RPIN5	33.5	-11.7	13	2	seeg	right
RPIN6	32.6	-14.2	17.1	2	seeg	right
RPIN7	31.8	-16.8	21.3	2	seeg	right
RPIN8	30.9	-19.3	25.4	2	seeg	right
RPIN9	30.1	-21.8	29.6	2	seeg	right
RPIN10	29.2	-24.8	33.7	2	seeg	right
