name	x	y	z	size	group	hemisphere
LCG1	-3.6	30.1	-3.4	2	seeg	left
LCG2	-7.2	31.1	0.8	2	seeg	left
LCG3	-10.9	32	5	2	seeg	left
LCG4	-14.5	33	9.1	2	seeg	left
LCG5	-18.2	34	13.2	2	seeg	left
LCG6	-21.8	35	17.3	2	seeg	left
LCG7	-25.5	36	21.4	2	seeg	left
LCG8	-29.1	37	25.5	2	seeg	left
LCG9	-32.7	38	29.6	2	seeg	left
LCG10	-36.4	39	33.7	2	seeg	left
LSMA1	-3.6	15.2	20.1	2	seeg	left
LSMA2	-5.1	16.1	24.5	2	seeg	left
LSMA3	-6.7	17	28.8	2	seeg	left
LSMA4	-8.3	18	33.1	2	seeg	left
LSMA5	-9.9	18.9	37.5	2	seeg	left
LSMA6	-11.5	19.8	41.8	2	seeg	left
LSMA7	-13.1	20.8	46.2	2	seeg	left
LSMA8	-14.6	21.7	50.5	2	seeg	left
LSMA9	-16.2	22.6	54.8	2	seeg	left
LSMA10	-17.8	23.6	59.2	2	seeg	left
LPMC1	-4.5	-4.3	28.8	2	seeg	left
LPMC2	-5.9	-4.4	33.3	2	seeg	left
LPMC3	-7.4	-4.4	37.8	2	seeg	left
LPMC4	-8.8	-4.5	42.2	2	seeg	left
LPMC5	-10.2	-4.5	46.7	2	seeg	left
LPMC6	-11.7	-4.5	51.2	2	seeg	left
LPMC7	-13.1	-4.6	55.7	2	seeg	left
LPMC8	-14.5	-4.6	60.1	2	seeg	left
LPMC9	-15.9	-4.7	64.6	2	seeg	left
LPMC10	-17.4	-4.7	69.1	2	seeg	left
LAIN1	-31.6	-1.6	-6.7	2	seeg	left
LAIN2	-33.3	1	-1.7	2	seeg	left
LAIN3	-35	3.9	3.1	2	seeg	left
LAIN4	-36.7	6.8	7.8	2	seeg	left
LAIN5	-38.4	9.8	12.5	2	seeg	left
LAIN6	-40.1	12.7	17.2	2	seeg	left
LAIN7	-41.8	15.6	22	2	seeg	left
LAIN8	-43.5	18.5	26.7	2	seeg	left
LAIN9	-45.2	21.4	31.4	2	seeg	left
LAIN10	-46.9	24.3	36.1	2	seeg	left
LPIN1	-35.5	-9.3	-2.5	2	seeg	left
LPIN2	-36.3	-11.9	4.5	2	seeg	left
LPIN3	-37	-14.6	11.4	2	seeg	left
LPIN4	-37.8	-17.3	18.3	2	seeg	left
LPIN5	-38.5	-20	25.2	2	seeg	left
LPIN6	-39.3	-22.7	32.1	2	seeg	left
LPIN7	-40.1	-25.7	39	2	seeg	left
LPIN8	-40.8	-28.7	45.8	2	seeg	left
LPIN9	-41.6	-31.7	52.7	2	seeg	left
LPIN10	-42.3	-34.7	59.6	2	seeg	left
LAOF1	-6	50.3	-11	2	seeg	left
LAOF2	-11.1	48	-9.1	2	seeg	left
LAOF3	-16.2	45.7	-7.1	2	seeg	left
LAOF4	-21.3	43.4	-5.2	2	seeg	left
LAOF5	-26.4	41.1	-3.3	2	seeg	left
LAOF6	-31.5	38.8	-1.3	2	seeg	left
LAOF7	-36.6	36.5	0.6	2	seeg	left
LAOF8	-41.7	34.3	2.4	2	seeg	left
LAOF9	-46.8	31.9	4.3	2	seeg	left
LAOF10	-51.9	29.6	6.2	2	seeg	left
LPOF1	-4.2	36.8	-17.9	2	seeg	left
LPOF2	-9.2	35.2	-13.4	2	seeg	left
LPOF3	-14.2	33.6	-8.9	2	seeg	left
LPOF4	-19.1	32	-4.4	2	seeg	left
LPOF5	-24.1	30.5	0.1	2	seeg	left
LPOF6	-29	28.9	4.5	2	seeg	left
LPOF7	-34	27.3	8.8	2	seeg	left
LPOF8	-39	25.7	13.1	2	seeg	left
LPOF9	-43.9	24.2	17.5	2	seeg	left
