name	x	y	z	size	group	hemisphere
LA1	-11.3	-7.3	-12.8	2	seeg	left
LA2	-14.8	-7.1	-13	2	seeg	left
LA3	-18.3	-7	-13.2	2	seeg	left
LA4	-21.8	-6.8	-13.4	2	seeg	left
LA5	-25.2	-6.7	-13.6	2	seeg	left
LA6	-28.7	-6.5	-13.8	2	seeg	left
LA7	-32.2	-6.4	-14	2	seeg	left
LA8	-35.6	-6.2	-14.2	2	seeg	left
LA9	-39.1	-6.1	-14.3	2	seeg	left
LA10	-42.6	-5.9	-14.5	2	seeg	left
LA11	-46.1	-5.8	-14.7	2	seeg	left
LA12	-49.5	-5.6	-14.9	2	seeg	left
LA13	-53	-5.5	-15.1	2	seeg	left
LA14	-56.5	-5.3	-15.3	2	seeg	left
LAH1	-18.7	-12.1	-14.7	2	seeg	left
LAH2	-22.2	-12.2	-14.7	2	seeg	left
LAH3	-25.7	-12.3	-14.6	2	seeg	left
LAH4	-29.1	-12.4	-14.6	2	seeg	left
LAH5	-32.6	-12.6	-14.6	2	seeg	left
LAH6	-36.1	-12.7	-14.6	2	seeg	left
LAH7	-39.6	-12.8	-14.5	2	seeg	left
LAH8	-43.1	-12.9	-14.5	2	seeg	left
LAH9	-46.6	-13	-14.5	2	seeg	left
LAH10	-50.1	-13.1	-14.5	2	seeg	left
LAH11	-53.6	-13.2	-14.4	2	seeg	left
LAH12	-57.1	-13.3	-14.4	2	seeg	left
LPH1	-32.1	-20	-10.5	2	seeg	left
LPH2	-35.4	-20.3	-10.1	2	seeg	left
LPH3	-38.7	-20.7	-9.7	2	seeg	left
LPH4	-42	-21	-9.2	2	seeg	left
LPH5	-45.3	-21.3	-8.8	2	seeg	left
LPH6	-48.6	-21.6	-8.4	2	seeg	left
LPH7	-51.9	-22	-8	2	seeg	left
LPH8	-55.2	-22.3	-7.6	2	seeg	left
LPH9	-58.5	-22.6	-7.2	2	seeg	left
LPH10	-61.8	-22.9	-6.7	2	seeg	left
LPH11	-65.1	-23.3	-6.3	2	seeg	left
LPH12	-68.4	-23.7	-5.9	2	seeg	left
LPH13	-71.7	-24.1	-5.5	2	seeg	left
LPH14	-75	-24.5	-5.1	2	seeg	left
LFP1	-8.3	60.9	-11.7	2	seeg	left
LFP2	-11.3	58.5	-10.3	2	seeg	left
LFP3	-14.3	56.1	-9	2	seeg	left
LFP4	-17.2	53.8	-7.6	2	seeg	left
