name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA11	SEEG	uv	0	300	seeg	2048
RA11-RA12	SEEG	uv	0	300	seeg	2048
RA12-RA11	SEEG	uv	0	300	seeg	2048
RAH1-RAH2	SEEG	uv	0	300	seeg	2048
RAH2-RAH3	SEEG	uv	0	300	seeg	2048
RAH3-RAH4	SEEG	uv	0	300	seeg	2048
RAH4-RAH5	SEEG	uv	0	300	seeg	2048
RAH5-RAH6	SEEG	uv	0	300	seeg	2048
RAH6-RAH7	SEEG	uv	0	300	seeg	2048
RAH7-RAH8	SEEG	uv	0	300	seeg	2048
RAH8-RAH9	SEEG	uv	0	300	seeg	2048
RAH9-RAH10	SEEG	uv	0	300	seeg	2048
RAH10-RAH11	SEEG	uv	0	300	seeg	2048
RAH11-RAH12	SEEG	uv	0	300	seeg	2048
RAH12-RAH11	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH11	SEEG	uv	0	300	seeg	2048
RPH11-RPH12	SEEG	uv	0	300	seeg	2048
RPH12-RPH11	SEEG	uv	0	300	seeg	2048
RPIN1-RPIN2	SEEG	uv	0	300	seeg	2048
RPIN2-RPIN3	SEEG	uv	0	300	seeg	2048
RPIN3-RPIN4	SEEG	uv	0	300	seeg	2048
RPIN4-RPIN5	SEEG	uv	0	300	seeg	2048
RPIN5-RPIN6	SEEG	uv	0	300	seeg	2048
RPIN6-RPIN7	SEEG	uv	0	300	seeg	2048
RPIN7-RPIN8	SEEG	uv	0	300	seeg	2048
RPIN8-RPIN7	SEEG	uv	0	300	seeg	2048
RAIN1-RAIN2	SEEG	uv	0	300	seeg	2048
RAIN2-RAIN3	SEEG	uv	0	300	seeg	2048
RAIN3-RAIN4	SEEG	uv	0	300	seeg	2048
RAIN4-RAIN5	SEEG	uv	0	300	seeg	2048
RAIN5-RAIN6	SEEG	uv	0	300	seeg	2048
RAIN6-RAIN7	SEEG	uv	0	300	seeg	2048
RAIN7-RAIN8	SEEG	uv	0	300	seeg	2048
RAIN8-RAIN9	SEEG	uv	0	300	seeg	2048
RAIN9-RAIN10	SEEG	uv	0	300	seeg	2048
RAIN10-RAIN9	SEEG	uv	0	300	seeg	2048
RAOF1-RAOF2	SEEG	uv	0	300	seeg	2048
RAOF2-RAOF3	SEEG	uv	0	300	seeg	2048
RAOF3-RAOF4	SEEG	uv	0	300	seeg	2048
RAOF4-RAOF5	SEEG	uv	0	300	seeg	2048
RAOF5-RAOF6	SEEG	uv	0	300	seeg	2048
RAOF6-RAOF7	SEEG	uv	0	300	seeg	2048
RAOF7-RAOF8	SEEG	uv	0	300	seeg	2048
RAOF8-RAOF9	SEEG	uv	0	300	seeg	2048
RAOF9-RAOF10	SEEG	uv	0	300	seeg	2048
RAOF10-RAOF11	SEEG	uv	0	300	seeg	2048
RAOF11-RAOF12	SEEG	uv	0	300	seeg	2048
RAOF12-RAOF13	SEEG	uv	0	300	seeg	2048
RAOF13-RAOF14	SEEG	uv	0	300	seeg	2048
RAOF14-RAOF15	SEEG	uv	0	300	seeg	2048
RAOF15-RAOF16	SEEG	uv	0	300	seeg	2048
RAOF16-RAOF15	SEEG	uv	0	300	seeg	2048
RPOF1-RPOF2	SEEG	uv	0	300	seeg	2048
RPOF2-RPOF3	SEEG	uv	0	300	seeg	2048
RPOF3-RPOF4	SEEG	uv	0	300	seeg	2048
RPOF4-RPOF5	SEEG	uv	0	300	seeg	2048
RPOF5-RPOF6	SEEG	uv	0	300	seeg	2048
RPOF6-RPOF7	SEEG	uv	0	300	seeg	2048
RPOF7-RPOF8	SEEG	uv	0	300	seeg	2048
RPOF8-RPOF9	SEEG	uv	0	300	seeg	2048
RPOF9-RPOF10	SEEG	uv	0	300	seeg	2048
RPOF10-RPOF11	SEEG	uv	0	300	seeg	2048
RPOF11-RPOF12	SEEG	uv	0	300	seeg	2048
RPOF12-RPOF13	SEEG	uv	0	300	seeg	2048
RPOF13-RPOF14	SEEG	uv	0	300	seeg	2048
RPOF14-RPOF15	SEEG	uv	0	300	seeg	2048
RPOF15-RPOF16	SEEG	uv	0	300	seeg	2048
RPOF16-RPOF15	SEEG	uv	0	300	seeg	2048
RAC1-RAC2	SEEG	uv	0	300	seeg	2048
RAC2-RAC3	SEEG	uv	0	300	seeg	2048
RAC3-RAC4	SEEG	uv	0	300	seeg	2048
RAC4-RAC5	SEEG	uv	0	300	seeg	2048
RAC5-RAC6	SEEG	uv	0	300	seeg	2048
RAC6-RAC7	SEEG	uv	0	300	seeg	2048
RAC7-RAC8	SEEG	uv	0	300	seeg	2048
RAC8-RAC9	SEEG	uv	0	300	seeg	2048
RAC9-RAC10	SEEG	uv	0	300	seeg	2048
RAC10-RAC11	SEEG	uv	0	300	seeg	2048
RAC11-RAC12	SEEG	uv	0	300	seeg	2048
RAC12-RAC13	SEEG	uv	0	300	seeg	2048
RAC13-RAC14	SEEG	uv	0	300	seeg	2048
RAC14-RAC15	SEEG	uv	0	300	seeg	2048
RAC15-RAC16	SEEG	uv	0	300	seeg	2048
RAC16-RAC15	SEEG	uv	0	300	seeg	2048
RPC1-RPC2	SEEG	uv	0	300	seeg	2048
RPC2-RPC3	SEEG	uv	0	300	seeg	2048
RPC3-RPC4	SEEG	uv	0	300	seeg	2048
RPC4-RPC5	SEEG	uv	0	300	seeg	2048
RPC5-RPC6	SEEG	uv	0	300	seeg	2048
RPC6-RPC7	SEEG	uv	0	300	seeg	2048
RPC7-RPC8	SEEG	uv	0	300	seeg	2048
RPC8-RPC9	SEEG	uv	0	300	seeg	2048
RPC9-RPC10	SEEG	uv	0	300	seeg	2048
RPC10-RPC11	SEEG	uv	0	300	seeg	2048
RPC11-RPC12	SEEG	uv	0	300	seeg	2048
RPC12-RPC11	SEEG	uv	0	300	seeg	2048
RITG1-RITG2	SEEG	uv	0	300	seeg	2048
RITG2-RITG3	SEEG	uv	0	300	seeg	2048
RITG3-RITG4	SEEG	uv	0	300	seeg	2048
RITG4-RITG5	SEEG	uv	0	300	seeg	2048
RITG5-RITG6	SEEG	uv	0	300	seeg	2048
RITG6-RITG7	SEEG	uv	0	300	seeg	2048
RITG7-RITG8	SEEG	uv	0	300	seeg	2048
RITG8-RITG9	SEEG	uv	0	300	seeg	2048
RITG9-RITG10	SEEG	uv	0	300	seeg	2048
RITG10-RITG9	SEEG	uv	0	300	seeg	2048
RTP1-RTP2	SEEG	uv	0	300	seeg	2048
RTP2-RTP3	SEEG	uv	0	300	seeg	2048
RTP3-RTP4	SEEG	uv	0	300	seeg	2048
RTP4-RTP5	SEEG	uv	0	300	seeg	2048
RTP5-RTP6	SEEG	uv	0	300	seeg	2048
RTP6-RTP7	SEEG	uv	0	300	seeg	2048
RTP7-RTP8	SEEG	uv	0	300	seeg	2048
RTP8-RTP9	SEEG	uv	0	300	seeg	2048
RTP9-RTP10	SEEG	uv	0	300	seeg	2048
RTP10-RTP11	SEEG	uv	0	300	seeg	2048
RTP11-RTP12	SEEG	uv	0	300	seeg	2048
RTP12-RTP13	SEEG	uv	0	300	seeg	2048
RTP13-RTP14	SEEG	uv	0	300	seeg	2048
RTP14-RTP15	SEEG	uv	0	300	seeg	2048
RTP15-RTP16	SEEG	uv	0	300	seeg	2048
RTP16-RTP15	SEEG	uv	0	300	seeg	2048
RLP1-RLP2	SEEG	uv	0	300	seeg	2048
RLP2-RLP3	SEEG	uv	0	300	seeg	2048
RLP3-RLP4	SEEG	uv	0	300	seeg	2048
RLP4-RLP5	SEEG	uv	0	300	seeg	2048
RLP5-RLP6	SEEG	uv	0	300	seeg	2048
RLP6-RLP7	SEEG	uv	0	300	seeg	2048
RLP7-RLP8	SEEG	uv	0	300	seeg	2048
RLP8-RLP9	SEEG	uv	0	300	seeg	2048
RLP9-RLP10	SEEG	uv	0	300	seeg	2048
RLP10-RLP11	SEEG	uv	0	300	seeg	2048
RLP11-RLP12	SEEG	uv	0	300	seeg	2048
RLP12-RLP13	SEEG	uv	0	300	seeg	2048
RLP13-RLP14	SEEG	uv	0	300	seeg	2048
RLP14-RLP15	SEEG	uv	0	300	seeg	2048
RLP15-RLP16	SEEG	uv	0	300	seeg	2048
RLP16-RLP15	SEEG	uv	0	300	seeg	2048
RPO1-RPO2	SEEG	uv	0	300	seeg	2048
RPO2-RPO3	SEEG	uv	0	300	seeg	2048
RPO3-RPO4	SEEG	uv	0	300	seeg	2048
RPO4-RPO5	SEEG	uv	0	300	seeg	2048
RPO5-RPO6	SEEG	uv	0	300	seeg	2048
RPO6-RPO7	SEEG	uv	0	300	seeg	2048
RPO7-RPO8	SEEG	uv	0	300	seeg	2048
RPO8-RPO9	SEEG	uv	0	300	seeg	2048
RPO9-RPO10	SEEG	uv	0	300	seeg	2048
RPO10-RPO11	SEEG	uv	0	300	seeg	2048
RPO11-RPO12	SEEG	uv	0	300	seeg	2048
RPO12-RPO13	SEEG	uv	0	300	seeg	2048
RPO13-RPO14	SEEG	uv	0	300	seeg	2048
