name	x	y	z	size	group	hemisphere
RA1	16.3	-2.2	-11.8	2	seeg	right
RA2	19.5	-1.6	-11.9	2	seeg	right
RA3	22.8	-1	-12	2	seeg	right
RA4	26.1	-0.4	-12.2	2	seeg	right
RA5	29.3	0.2	-12.3	2	seeg	right
RA6	32.6	0.8	-12.4	2	seeg	right
RA7	35.9	1.4	-12.6	2	seeg	right
RA8	39.1	2.1	-12.7	2	seeg	right
RA9	42.4	2.7	-12.8	2	seeg	right
RA10	45.7	3.3	-12.9	2	seeg	right
RA11	48.9	3.9	-13.1	2	seeg	right
RA12	52.2	4.6	-13.2	2	seeg	right
RAH1	22.5	-9	-10.1	2	seeg	right
RAH2	25.9	-8.7	-10.3	2	seeg	right
RAH3	29.4	-8.5	-10.6	2	seeg	right
RAH4	32.8	-8.2	-10.8	2	seeg	right
RAH5	36.3	-7.9	-11	2	seeg	right
RAH6	39.7	-7.7	-11.3	2	seeg	right
RAH7	43.1	-7.4	-11.5	2	seeg	right
RAH8	46.6	-7.2	-11.7	2	seeg	right
RAH9	50	-6.9	-11.9	2	seeg	right
RAH10	53.5	-6.6	-12.2	2	seeg	right
RAH11	56.9	-6.4	-12.4	2	seeg	right
RAH12	60.4	-6.1	-12.6	2	seeg	right
RPH1	26.3	-25.5	-6.1	2	seeg	right
RPH2	29.6	-25.8	-5.4	2	seeg	right
RPH3	32.9	-26.1	-4.7	2	seeg	right
RPH4	36.3	-26.4	-4.1	2	seeg	right
RPH5	39.6	-26.8	-3.4	2	seeg	right
RPH6	42.9	-27.1	-2.8	2	seeg	right
RPH7	46.2	-27.4	-2.1	2	seeg	right
RPH8	49.6	-27.7	-1.4	2	seeg	right
RPH9	52.9	-28.1	-0.8	2	seeg	right
RPH10	56.2	-28.4	-0.1	2	seeg	right
RPH11	59.6	-28.7	0.6	2	seeg	right
RPH12	62.9	-29	1.3	2	seeg	right
RPIN1	37.8	-8.3	8.2	2	seeg	right
RPIN2	41	-8	7.9	2	seeg	right
RPIN3	44.2	-7.8	7.6	2	seeg	right
RPIN4	47.4	-7.5	7.2	2	seeg	right
RPIN5	50.7	-7.2	6.9	2	seeg	right
RPIN6	53.9	-7	6.5	2	seeg	right
RPIN7	57.1	-6.7	6.2	2	seeg	right
RPIN8	60.3	-6.4	5.8	2	seeg	right
RAIN1	35.6	13.3	6.2	2	seeg	right
RAIN2	38.2	12.3	8.4	2	seeg	right
RAIN3	40.7	11.3	10.5	2	seeg	right
RAIN4	43.2	10.3	12.6	2	seeg	right
RAIN5	45.7	9.3	14.7	2	seeg	right
RAIN6	48.3	8.3	16.8	2	seeg	right
RAIN7	50.8	7.3	18.9	2	seeg	right
RAIN8	53.3	6.3	21.1	2	seeg	right
RAIN9	55.9	5.3	23.2	2	seeg	right
RAIN10	58.4	4.3	25.3	2	seeg	right
RAOF1	7.7	56.6	-7.2	2	seeg	right
RAOF2	10.3	55.3	-6.3	2	seeg	right
RAOF3	12.9	54	-5.5	2	seeg	right
RAOF4	15.5	52.6	-4.6	2	seeg	right
RAOF5	18.1	51.3	-3.8	2	seeg	right
RAOF6	20.7	49.9	-2.9	2	seeg	right
RAOF7	23.3	48.6	-2.1	2	seeg	right
RAOF8	25.9	47.3	-1.2	2	seeg	right
RAOF9	28.5	45.9	-0.4	2	seeg	right
RAOF10	31.1	44.6	0.5	2	seeg	right
RAOF11	33.7	43.2	1.4	2	seeg	right
RAOF12	36.3	41.9	2.3	2	seeg	right
RAOF13	38.9	40.6	3.2	2	seeg	right
RAOF14	41.5	39.2	4.1	2	seeg	right
RAOF15	44.1	37.9	5	2	seeg	right
RAOF16	46.7	36.6	5.9	2	seeg	right
RPOF1	11.1	21.9	-9.6	2	seeg	right
RPOF2	13.8	21.7	-8.3	2	seeg	right
RPOF3	16.6	21.6	-6.9	2	seeg	right
RPOF4	19.3	21.5	-5.5	2	seeg	right
RPOF5	22.1	21.3	-4.1	2	seeg	right
RPOF6	24.8	21.2	-2.7	2	seeg	right
RPOF7	27.6	21	-1.4	2	seeg	right
RPOF8	30.3	20.9	0	2	seeg	right
RPOF9	33.1	20.8	1.5	2	seeg	right
