name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA9	SEEG	uv	0	300	seeg	2048
RAH1-RAH2	SEEG	uv	0	300	seeg	2048
RAH2-RAH3	SEEG	uv	0	300	seeg	2048
RAH3-RAH4	SEEG	uv	0	300	seeg	2048
RAH4-RAH5	SEEG	uv	0	300	seeg	2048
RAH5-RAH6	SEEG	uv	0	300	seeg	2048
RAH6-RAH7	SEEG	uv	0	300	seeg	2048
RAH7-RAH8	SEEG	uv	0	300	seeg	2048
RAH8-RAH9	SEEG	uv	0	300	seeg	2048
RAH9-RAH10	SEEG	uv	0	300	seeg	2048
RAH10-RAH9	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH9	SEEG	uv	0	300	seeg	2048
RTP1-RTP2	SEEG	uv	0	300	seeg	2048
RTP2-RTP3	SEEG	uv	0	300	seeg	2048
RTP3-RTP4	SEEG	uv	0	300	seeg	2048
RTP4-RTP5	SEEG	uv	0	300	seeg	2048
RTP5-RTP6	SEEG	uv	0	300	seeg	2048
RTP6-RTP7	SEEG	uv	0	300	seeg	2048
RTP7-RTP8	SEEG	uv	0	300	seeg	2048
RTP8-RTP9	SEEG	uv	0	300	seeg	2048
RTP9-RTP10	SEEG	uv	0	300	seeg	2048
RTP10-RTP9	SEEG	uv	0	300	seeg	2048
RSTG1-RSTG2	SEEG	uv	0	300	seeg	2048
RSTG2-RSTG3	SEEG	uv	0	300	seeg	2048
RSTG3-RSTG4	SEEG	uv	0	300	seeg	2048
RSTG4-RSTG5	SEEG	uv	0	300	seeg	2048
RSTG5-RSTG6	SEEG	uv	0	300	seeg	2048
RSTG6-RSTG7	SEEG	uv	0	300	seeg	2048
RSTG7-RSTG8	SEEG	uv	0	300	seeg	2048
RSTG8-RSTG9	SEEG	uv	0	300	seeg	2048
RSTG9-RSTG10	SEEG	uv	0	300	seeg	2048
RSTG10-RSTG9	SEEG	uv	0	300	seeg	2048
RAOF1-RAOF2	SEEG	uv	0	300	seeg	2048
RAOF2-RAOF3	SEEG	uv	0	300	seeg	2048
RAOF3-RAOF4	SEEG	uv	0	300	seeg	2048
RAOF4-RAOF5	SEEG	uv	0	300	seeg	2048
RAOF5-RAOF6	SEEG	uv	0	300	seeg	2048
RAOF6-RAOF7	SEEG	uv	0	300	seeg	2048
RAOF7-RAOF8	SEEG	uv	0	300	seeg	2048
RAOF8-RAOF9	SEEG	uv	0	300	seeg	2048
RAOF9-RAOF10	SEEG	uv	0	300	seeg	2048
RAOF10-RAOF9	SEEG	uv	0	300	seeg	2048
RPOF1-RPOF2	SEEG	uv	0	300	seeg	2048
RPOF2-RPOF3	SEEG	uv	0	300	seeg	2048
RPOF3-RPOF4	SEEG	uv	0	300	seeg	2048
RPOF4-RPOF5	SEEG	uv	0	300	seeg	2048
RPOF5-RPOF6	SEEG	uv	0	300	seeg	2048
RPOF6-RPOF7	SEEG	uv	0	300	seeg	2048
RPOF7-RPOF8	SEEG	uv	0	300	seeg	2048
RPOF8-RPOF9	SEEG	uv	0	300	seeg	2048
RPOF9-RPOF10	SEEG	uv	0	300	seeg	2048
RPOF10-RPOF9	SEEG	uv	0	300	seeg	2048
RTPOC1-RTPOC2	SEEG	uv	0	300	seeg	2048
RTPOC2-RTPOC3	SEEG	uv	0	300	seeg	2048
RTPOC3-RTPOC4	SEEG	uv	0	300	seeg	2048
RTPOC4-RTPOC5	SEEG	uv	0	300	seeg	2048
RTPOC5-RTPOC6	SEEG	uv	0	300	seeg	2048
RTPOC6-RTPOC7	SEEG	uv	0	300	seeg	2048
RTPOC7-RTPOC8	SEEG	uv	0	300	seeg	2048
RTPOC8-RTPOC9	SEEG	uv	0	300	seeg	2048
RTPOC9-RTPOC10	SEEG	uv	0	300	seeg	2048
RTPOC10-RTPOC9	SEEG	uv	0	300	seeg	2048
RPIN1-RPIN2	SEEG	uv	0	300	seeg	2048
RPIN2-RPIN3	SEEG	uv	0	300	seeg	2048
RPIN3-RPIN4	SEEG	uv	0	300	seeg	2048
RPIN4-RPIN5	SEEG	uv	0	300	seeg	2048
RPIN5-RPIN6	SEEG	uv	0	300	seeg	2048
RPIN6-RPIN7	SEEG	uv	0	300	seeg	2048
RPIN7-RPIN8	SEEG	uv	0	300	seeg	2048
RPIN8-RPIN9	SEEG	uv	0	300	seeg	2048
RPIN9-RPIN10	SEEG	uv	0	300	seeg	2048
RPIN10-RPIN9	SEEG	uv	0	300	seeg	2048
RAC1-RAC2	SEEG	uv	0	300	seeg	2048
RAC2-RAC3	SEEG	uv	0	300	seeg	2048
RAC3-RAC4	SEEG	uv	0	300	seeg	2048
RAC4-RAC5	SEEG	uv	0	300	seeg	2048
RAC5-RAC6	SEEG	uv	0	300	seeg	2048
RAC6-RAC7	SEEG	uv	0	300	seeg	2048
RAC7-RAC8	SEEG	uv	0	300	seeg	2048
RAC8-RAC9	SEEG	uv	0	300	seeg	2048
RAC9-RAC10	SEEG	uv	0	300	seeg	2048
RAC10-RAC9	SEEG	uv	0	300	seeg	2048
RMC1-RMC2	SEEG	uv	0	300	seeg	2048
RMC2-RMC3	SEEG	uv	0	300	seeg	2048
RMC3-RMC4	SEEG	uv	0	300	seeg	2048
RMC4-RMC5	SEEG	uv	0	300	seeg	2048
RMC5-RMC6	SEEG	uv	0	300	seeg	2048
RMC6-RMC7	SEEG	uv	0	300	seeg	2048
RMC7-RMC8	SEEG	uv	0	300	seeg	2048
RMC8-RMC9	SEEG	uv	0	300	seeg	2048
RMC9-RMC10	SEEG	uv	0	300	seeg	2048
RMC10-RMC9	SEEG	uv	0	300	seeg	2048
RL1-RL2	SEEG	uv	0	300	seeg	2048
RL2-RL3	SEEG	uv	0	300	seeg	2048
RL3-RL4	SEEG	uv	0	300	seeg	2048
RL4-RL5	SEEG	uv	0	300	seeg	2048
RL5-RL6	SEEG	uv	0	300	seeg	2048
RL6-RL7	SEEG	uv	0	300	seeg	2048
RL7-RL8	SEEG	uv	0	300	seeg	2048
RL8-RL9	SEEG	uv	0	300	seeg	2048
RL9-RL10	SEEG	uv	0	300	seeg	2048
RL10-RL9	SEEG	uv	0	300	seeg	2048
RPC1-RPC2	SEEG	uv	0	300	seeg	2048
RPC2-RPC3	SEEG	uv	0	300	seeg	2048
RPC3-RPC4	SEEG	uv	0	300	seeg	2048
RPC4-RPC5	SEEG	uv	0	300	seeg	2048
RPC5-RPC6	SEEG	uv	0	300	seeg	2048
RPC6-RPC7	SEEG	uv	0	300	seeg	2048
RPC7-RPC8	SEEG	uv	0	300	seeg	2048
RPC8-RPC9	SEEG	uv	0	300	seeg	2048
RPC9-RPC10	SEEG	uv	0	300	seeg	2048
RPC10-RPC9	SEEG	uv	0	300	seeg	2048
LA1-LA2	SEEG	uv	0	300	seeg	2048
LA2-LA3	SEEG	uv	0	300	seeg	2048
LA3-LA4	SEEG	uv	0	300	seeg	2048
LA4-LA5	SEEG	uv	0	300	seeg	2048
LA5-LA6	SEEG	uv	0	300	seeg	2048
LA6-LA7	SEEG	uv	0	300	seeg	2048
LA7-LA8	SEEG	uv	0	300	seeg	2048
LA8-LA9	SEEG	uv	0	300	seeg	2048
LA9-LA10	SEEG	uv	0	300	seeg	2048
LA10-LA9	SEEG	uv	0	300	seeg	2048
LAH1-LAH2	SEEG	uv	0	300	seeg	2048
LAH2-LAH3	SEEG	uv	0	300	seeg	2048
LAH3-LAH4	SEEG	uv	0	300	seeg	2048
LAH4-LAH5	SEEG	uv	0	300	seeg	2048
LAH5-LAH6	SEEG	uv	0	300	seeg	2048
LAH6-LAH7	SEEG	uv	0	300	seeg	2048
LAH7-LAH8	SEEG	uv	0	300	seeg	2048
LAH8-LAH9	SEEG	uv	0	300	seeg	2048
LAH9-LAH10	SEEG	uv	0	300	seeg	2048
LAH10-LAH9	SEEG	uv	0	300	seeg	2048
LAOF1-LAOF2	SEEG	uv	0	300	seeg	2048
LAOF2-LAOF3	SEEG	uv	0	300	seeg	2048
LAOF3-LAOF4	SEEG	uv	0	300	seeg	2048
LAOF4-LAOF5	SEEG	uv	0	300	seeg	2048
LAOF5-LAOF6	SEEG	uv	0	300	seeg	2048
LAOF6-LAOF7	SEEG	uv	0	300	seeg	2048
LAOF7-LAOF8	SEEG	uv	0	300	seeg	2048
LAOF8-LAOF9	SEEG	uv	0	300	seeg	2048
LAOF9-LAOF10	SEEG	uv	0	300	seeg	2048
LAOF10-LAOF9	SEEG	uv	0	300	seeg	2048
LPIN1-LPIN2	SEEG	uv	0	300	seeg	2048
LPIN2-LPIN3	SEEG	uv	0	300	seeg	2048
LPIN3-LPIN4	SEEG	uv	0	300	seeg	2048
LPIN4-LPIN5	SEEG	uv	0	300	seeg	2048
LPIN5-LPIN6	SEEG	uv	0	300	seeg	2048
LPIN6-LPIN7	SEEG	uv	0	300	seeg	2048
LPIN7-LPIN8	SEEG	uv	0	300	seeg	2048
LPIN8-LPIN9	SEEG	uv	0	300	seeg	2048
LPIN9-LPIN10	SEEG	uv	0	300	seeg	2048
