name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA11	SEEG	uv	0	300	seeg	2048
RA11-RA12	SEEG	uv	0	300	seeg	2048
RA12-RA11	SEEG	uv	0	300	seeg	2048
RAH1-RAH2	SEEG	uv	0	300	seeg	2048
RAH2-RAH3	SEEG	uv	0	300	seeg	2048
RAH3-RAH4	SEEG	uv	0	300	seeg	2048
RAH4-RAH5	SEEG	uv	0	300	seeg	2048
RAH5-RAH6	SEEG	uv	0	300	seeg	2048
RAH6-RAH7	SEEG	uv	0	300	seeg	2048
RAH7-RAH8	SEEG	uv	0	300	seeg	2048
RAH8-RAH9	SEEG	uv	0	300	seeg	2048
RAH9-RAH10	SEEG	uv	0	300	seeg	2048
RAH10-RAH11	SEEG	uv	0	300	seeg	2048
RAH11-RAH12	SEEG	uv	0	300	seeg	2048
RAH12-RAH13	SEEG	uv	0	300	seeg	2048
RAH13-RAH14	SEEG	uv	0	300	seeg	2048
RAH14-RAH13	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH11	SEEG	uv	0	300	seeg	2048
RPH11-RPH12	SEEG	uv	0	300	seeg	2048
RPH12-RPH13	SEEG	uv	0	300	seeg	2048
RPH13-RPH14	SEEG	uv	0	300	seeg	2048
RPH14-RPH13	SEEG	uv	0	300	seeg	2048
RSTP1-RSTP2	SEEG	uv	0	300	seeg	2048
RSTP2-RSTP3	SEEG	uv	0	300	seeg	2048
RSTP3-RSTP4	SEEG	uv	0	300	seeg	2048
RSTP4-RSTP5	SEEG	uv	0	300	seeg	2048
RSTP5-RSTP6	SEEG	uv	0	300	seeg	2048
RSTP6-RSTP7	SEEG	uv	0	300	seeg	2048
RSTP7-RSTP8	SEEG	uv	0	300	seeg	2048
RSTP8-RSTP9	SEEG	uv	0	300	seeg	2048
RSTP9-RSTP10	SEEG	uv	0	300	seeg	2048
RSTP10-RSTP9	SEEG	uv	0	300	seeg	2048
RITP1-RITP2	SEEG	uv	0	300	seeg	2048
RITP2-RITP3	SEEG	uv	0	300	seeg	2048
RITP3-RITP4	SEEG	uv	0	300	seeg	2048
RITP4-RITP5	SEEG	uv	0	300	seeg	2048
RITP5-RITP6	SEEG	uv	0	300	seeg	2048
RITP6-RITP7	SEEG	uv	0	300	seeg	2048
RITP7-RITP8	SEEG	uv	0	300	seeg	2048
RITP8-RITP7	SEEG	uv	0	300	seeg	2048
RPIN1-RPIN2	SEEG	uv	0	300	seeg	2048
RPIN2-RPIN3	SEEG	uv	0	300	seeg	2048
RPIN3-RPIN4	SEEG	uv	0	300	seeg	2048
RPIN4-RPIN5	SEEG	uv	0	300	seeg	2048
RPIN5-RPIN6	SEEG	uv	0	300	seeg	2048
RPIN6-RPIN7	SEEG	uv	0	300	seeg	2048
RPIN7-RPIN8	SEEG	uv	0	300	seeg	2048
RPIN8-RPIN9	SEEG	uv	0	300	seeg	2048
RPIN9-RPIN10	SEEG	uv	0	300	seeg	2048
RPIN10-RPIN11	SEEG	uv	0	300	seeg	2048
RPIN11-RPIN12	SEEG	uv	0	300	seeg	2048
RPIN12-RPIN13	SEEG	uv	0	300	seeg	2048
RPIN13-RPIN14	SEEG	uv	0	300	seeg	2048
RPIN14-RPIN15	SEEG	uv	0	300	seeg	2048
RPIN15-RPIN16	SEEG	uv	0	300	seeg	2048
RPIN16-RPIN15	SEEG	uv	0	300	seeg	2048
RAOF1-RAOF2	SEEG	uv	0	300	seeg	2048
RAOF2-RAOF3	SEEG	uv	0	300	seeg	2048
RAOF3-RAOF4	SEEG	uv	0	300	seeg	2048
RAOF4-RAOF5	SEEG	uv	0	300	seeg	2048
RAOF5-RAOF6	SEEG	uv	0	300	seeg	2048
RAOF6-RAOF7	SEEG	uv	0	300	seeg	2048
RAOF7-RAOF8	SEEG	uv	0	300	seeg	2048
RAOF8-RAOF9	SEEG	uv	0	300	seeg	2048
RAOF9-RAOF10	SEEG	uv	0	300	seeg	2048
RAOF10-RAOF11	SEEG	uv	0	300	seeg	2048
RAOF11-RAOF12	SEEG	uv	0	300	seeg	2048
RAOF12-RAOF13	SEEG	uv	0	300	seeg	2048
RAOF13-RAOF14	SEEG	uv	0	300	seeg	2048
RAOF14-RAOF15	SEEG	uv	0	300	seeg	2048
RAOF15-RAOF16	SEEG	uv	0	300	seeg	2048
RAOF16-RAOF15	SEEG	uv	0	300	seeg	2048
RPOF1-RPOF2	SEEG	uv	0	300	seeg	2048
RPOF2-RPOF3	SEEG	uv	0	300	seeg	2048
RPOF3-RPOF4	SEEG	uv	0	300	seeg	2048
RPOF4-RPOF5	SEEG	uv	0	300	seeg	2048
RPOF5-RPOF6	SEEG	uv	0	300	seeg	2048
RPOF6-RPOF7	SEEG	uv	0	300	seeg	2048
RPOF7-RPOF8	SEEG	uv	0	300	seeg	2048
RPOF8-RPOF9	SEEG	uv	0	300	seeg	2048
RPOF9-RPOF10	SEEG	uv	0	300	seeg	2048
RPOF10-RPOF11	SEEG	uv	0	300	seeg	2048
RPOF11-RPOF12	SEEG	uv	0	300	seeg	2048
RPOF12-RPOF13	SEEG	uv	0	300	seeg	2048
RPOF13-RPOF14	SEEG	uv	0	300	seeg	2048
RPOF14-RPOF15	SEEG	uv	0	300	seeg	2048
RPOF15-RPOF16	SEEG	uv	0	300	seeg	2048
RPOF16-RPOF15	SEEG	uv	0	300	seeg	2048
RAC1-RAC2	SEEG	uv	0	300	seeg	2048
RAC2-RAC3	SEEG	uv	0	300	seeg	2048
RAC3-RAC4	SEEG	uv	0	300	seeg	2048
RAC4-RAC5	SEEG	uv	0	300	seeg	2048
RAC5-RAC6	SEEG	uv	0	300	seeg	2048
RAC6-RAC7	SEEG	uv	0	300	seeg	2048
RAC7-RAC8	SEEG	uv	0	300	seeg	2048
RAC8-RAC9	SEEG	uv	0	300	seeg	2048
RAC9-RAC10	SEEG	uv	0	300	seeg	2048
RAC10-RAC11	SEEG	uv	0	300	seeg	2048
RAC11-RAC12	SEEG	uv	0	300	seeg	2048
RAC12-RAC13	SEEG	uv	0	300	seeg	2048
RAC13-RAC14	SEEG	uv	0	300	seeg	2048
RAC14-RAC13	SEEG	uv	0	300	seeg	2048
RMC1-RMC2	SEEG	uv	0	300	seeg	2048
RMC2-RMC3	SEEG	uv	0	300	seeg	2048
RMC3-RMC4	SEEG	uv	0	300	seeg	2048
RMC4-RMC5	SEEG	uv	0	300	seeg	2048
RMC5-RMC6	SEEG	uv	0	300	seeg	2048
RMC6-RMC7	SEEG	uv	0	300	seeg	2048
RMC7-RMC8	SEEG	uv	0	300	seeg	2048
RMC8-RMC9	SEEG	uv	0	300	seeg	2048
RMC9-RMC10	SEEG	uv	0	300	seeg	2048
RMC10-RMC11	SEEG	uv	0	300	seeg	2048
RMC11-RMC12	SEEG	uv	0	300	seeg	2048
RMC12-RMC13	SEEG	uv	0	300	seeg	2048
RMC13-RMC14	SEEG	uv	0	300	seeg	2048
RMC14-RMC13	SEEG	uv	0	300	seeg	2048
LAH1-LAH2	SEEG	uv	0	300	seeg	2048
LAH2-LAH3	SEEG	uv	0	300	seeg	2048
LAH3-LAH4	SEEG	uv	0	300	seeg	2048
LAH4-LAH5	SEEG	uv	0	300	seeg	2048
LAH5-LAH6	SEEG	uv	0	300	seeg	2048
LAH6-LAH7	SEEG	uv	0	300	seeg	2048
LAH7-LAH8	SEEG	uv	0	300	seeg	2048
LAH8-LAH9	SEEG	uv	0	300	seeg	2048
LAH9-LAH10	SEEG	uv	0	300	seeg	2048
LAH10-LAH11	SEEG	uv	0	300	seeg	2048
LAH11-LAH12	SEEG	uv	0	300	seeg	2048
LAH12-LAH13	SEEG	uv	0	300	seeg	2048
LAH13-LAH14	SEEG	uv	0	300	seeg	2048
LAH14-LAH15	SEEG	uv	0	300	seeg	2048
LAH15-LAH16	SEEG	uv	0	300	seeg	2048
LAH16-LAH15	SEEG	uv	0	300	seeg	2048
