name	x	y	z	size	group	hemisphere
RA1	15.5	1.2	-15	2	seeg	right
RA2	19	1.4	-15.6	2	seeg	right
RA3	22.4	1.6	-16.2	2	seeg	right
RA4	25.8	1.8	-16.8	2	seeg	right
RA5	29.2	2	-17.5	2	seeg	right
RA6	32.6	2.2	-18.1	2	seeg	right
RA7	36	2.4	-18.7	2	seeg	right
RA8	39.4	2.7	-19.3	2	seeg	right
RA9	42.9	2.9	-19.9	2	seeg	right
RA10	46.3	3.1	-20.5	2	seeg	right
RA11	49.7	3.3	-21.1	2	seeg	right
RA12	53.1	3.5	-21.7	2	seeg	right
RAH1	15	-3.1	-19.7	2	seeg	right
RAH2	18.4	-3.6	-19.7	2	seeg	right
RAH3	21.8	-4.2	-19.8	2	seeg	right
RAH4	25.2	-4.8	-19.9	2	seeg	right
RAH5	28.6	-5.3	-20	2	seeg	right
RAH6	32	-5.9	-20	2	seeg	right
RAH7	35.4	-6.5	-20.1	2	seeg	right
RAH8	38.8	-7.1	-20.2	2	seeg	right
RAH9	42.2	-7.6	-20.3	2	seeg	right
RAH10	45.6	-8.2	-20.3	2	seeg	right
RAH11	49	-8.8	-20.4	2	seeg	right
RAH12	52.4	-9.3	-20.5	2	seeg	right
RAH13	55.9	-9.9	-20.6	2	seeg	right
RAH14	59.3	-10.5	-20.7	2	seeg	right
RPH1	19.3	-15	-16	2	seeg	right
RPH2	22.8	-15.6	-16	2	seeg	right
RPH3	26.2	-16.2	-16	2	seeg	right
RPH4	29.6	-16.8	-16.1	2	seeg	right
RPH5	33	-17.3	-16.1	2	seeg	right
RPH6	36.4	-17.9	-16.1	2	seeg	right
RPH7	39.8	-18.5	-16.2	2	seeg	right
RPH8	43.2	-19.1	-16.2	2	seeg	right
RPH9	46.6	-19.7	-16.2	2	seeg	right
RPH10	50	-20.3	-16.2	2	seeg	right
RPH11	53.4	-20.9	-16.3	2	seeg	right
RPH12	56.8	-21.5	-16.3	2	seeg	right
RPH13	60.2	-22.1	-16.3	2	seeg	right
RPH14	63.6	-22.7	-16.3	2	seeg	right
RSTP1	15.4	18.4	-29.5	2	seeg	right
RSTP2	18.8	18.1	-29.1	2	seeg	right
RSTP3	22.2	17.9	-28.6	2	seeg	right
RSTP4	25.7	17.7	-28.2	2	seeg	right
RSTP5	29.1	17.4	-27.7	2	seeg	right
RSTP6	32.5	17.2	-27.3	2	seeg	right
RSTP7	36	17	-26.8	2	seeg	right
RSTP8	39.4	16.8	-26.4	2	seeg	right
RSTP9	42.8	16.5	-25.9	2	seeg	right
RSTP10	46.3	16.3	-25.4	2	seeg	right
RITP1	26.6	-2.8	-36.3	2	seeg	right
