name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
LTP1-LTP2	SEEG	uv	0	300	seeg	2048
LTP2-LTP3	SEEG	uv	0	300	seeg	2048
LTP3-LTP4	SEEG	uv	0	300	seeg	2048
LTP4-LTP5	SEEG	uv	0	300	seeg	2048
LTP5-LTP6	SEEG	uv	0	300	seeg	2048
LTP6-LTP5	SEEG	uv	0	300	seeg	2048
LBP1-LBP2	SEEG	uv	0	300	seeg	2048
LBP2-LBP3	SEEG	uv	0	300	seeg	2048
LBP3-LBP4	SEEG	uv	0	300	seeg	2048
LBP4-LBP5	SEEG	uv	0	300	seeg	2048
LBP5-LBP6	SEEG	uv	0	300	seeg	2048
LBP6-LBP7	SEEG	uv	0	300	seeg	2048
LBP7-LBP8	SEEG	uv	0	300	seeg	2048
LBP8-LBP7	SEEG	uv	0	300	seeg	2048
LA1-LA2	SEEG	uv	0	300	seeg	2048
LA2-LA3	SEEG	uv	0	300	seeg	2048
LA3-LA4	SEEG	uv	0	300	seeg	2048
LA4-LA5	SEEG	uv	0	300	seeg	2048
LA5-LA6	SEEG	uv	0	300	seeg	2048
LA6-LA7	SEEG	uv	0	300	seeg	2048
LA7-LA8	SEEG	uv	0	300	seeg	2048
LA8-LA7	SEEG	uv	0	300	seeg	2048
LAH1-LAH2	SEEG	uv	0	300	seeg	2048
LAH2-LAH3	SEEG	uv	0	300	seeg	2048
LAH3-LAH4	SEEG	uv	0	300	seeg	2048
LAH4-LAH5	SEEG	uv	0	300	seeg	2048
LAH5-LAH6	SEEG	uv	0	300	seeg	2048
LAH6-LAH7	SEEG	uv	0	300	seeg	2048
LAH7-LAH8	SEEG	uv	0	300	seeg	2048
LAH8-LAH9	SEEG	uv	0	300	seeg	2048
LAH9-LAH8	SEEG	uv	0	300	seeg	2048
LAH10-LAH11	SEEG	uv	0	300	seeg	2048
LAH11-LAH12	SEEG	uv	0	300	seeg	2048
LAH12-LAH11	SEEG	uv	0	300	seeg	2048
LPH1-LPH2	SEEG	uv	0	300	seeg	2048
LPH2-LPH3	SEEG	uv	0	300	seeg	2048
LPH3-LPH4	SEEG	uv	0	300	seeg	2048
LPH4-LPH5	SEEG	uv	0	300	seeg	2048
LPH5-LPH6	SEEG	uv	0	300	seeg	2048
LPH6-LPH7	SEEG	uv	0	300	seeg	2048
LPH7-LPH8	SEEG	uv	0	300	seeg	2048
LPH8-LPH9	SEEG	uv	0	300	seeg	2048
LPH9-LPH8	SEEG	uv	0	300	seeg	2048
LPH10-LPH11	SEEG	uv	0	300	seeg	2048
LPH11-LPH12	SEEG	uv	0	300	seeg	2048
LPH12-LPH11	SEEG	uv	0	300	seeg	2048
LAOF1-LAOF2	SEEG	uv	0	300	seeg	2048
LAOF2-LAOF3	SEEG	uv	0	300	seeg	2048
LAOF3-LAOF4	SEEG	uv	0	300	seeg	2048
LAOF4-LAOF5	SEEG	uv	0	300	seeg	2048
LAOF5-LAOF6	SEEG	uv	0	300	seeg	2048
LAOF6-LAOF7	SEEG	uv	0	300	seeg	2048
LAOF7-LAOF8	SEEG	uv	0	300	seeg	2048
LAOF8-LAOF9	SEEG	uv	0	300	seeg	2048
LAOF9-LAOF8	SEEG	uv	0	300	seeg	2048
LAOF10-LAOF11	SEEG	uv	0	300	seeg	2048
LAOF11-LAOF12	SEEG	uv	0	300	seeg	2048
LAOF12-LAOF13	SEEG	uv	0	300	seeg	2048
LAOF13-LAOF14	SEEG	uv	0	300	seeg	2048
LAOF14-LAOF15	SEEG	uv	0	300	seeg	2048
LAOF15-LAOF16	SEEG	uv	0	300	seeg	2048
LAOF16-LAOF15	SEEG	uv	0	300	seeg	2048
LPOF1-LPOF2	SEEG	uv	0	300	seeg	2048
LPOF2-LPOF3	SEEG	uv	0	300	seeg	2048
LPOF3-LPOF4	SEEG	uv	0	300	seeg	2048
LPOF4-LPOF5	SEEG	uv	0	300	seeg	2048
LPOF5-LPOF6	SEEG	uv	0	300	seeg	2048
LPOF6-LPOF7	SEEG	uv	0	300	seeg	2048
LPOF7-LPOF8	SEEG	uv	0	300	seeg	2048
LPOF8-LPOF9	SEEG	uv	0	300	seeg	2048
LPOF9-LPOF8	SEEG	uv	0	300	seeg	2048
LPOF10-LPOF11	SEEG	uv	0	300	seeg	2048
LPOF11-LPOF12	SEEG	uv	0	300	seeg	2048
LPOF12-LPOF13	SEEG	uv	0	300	seeg	2048
LPOF13-LPOF14	SEEG	uv	0	300	seeg	2048
LPOF14-LPOF15	SEEG	uv	0	300	seeg	2048
LPOF15-LPOF16	SEEG	uv	0	300	seeg	2048
LPOF16-LPOF15	SEEG	uv	0	300	seeg	2048
LAC1-LAC2	SEEG	uv	0	300	seeg	2048
LAC2-LAC3	SEEG	uv	0	300	seeg	2048
LAC3-LAC4	SEEG	uv	0	300	seeg	2048
LAC4-LAC5	SEEG	uv	0	300	seeg	2048
LAC5-LAC6	SEEG	uv	0	300	seeg	2048
LAC6-LAC7	SEEG	uv	0	300	seeg	2048
LAC7-LAC8	SEEG	uv	0	300	seeg	2048
LAC8-LAC9	SEEG	uv	0	300	seeg	2048
LAC9-LAC8	SEEG	uv	0	300	seeg	2048
LAC10-LAC11	SEEG	uv	0	300	seeg	2048
LAC11-LAC12	SEEG	uv	0	300	seeg	2048
LAC12-LAC11	SEEG	uv	0	300	seeg	2048
LMC1-LMC2	SEEG	uv	0	300	seeg	2048
LMC2-LMC3	SEEG	uv	0	300	seeg	2048
LMC3-LMC4	SEEG	uv	0	300	seeg	2048
LMC4-LMC5	SEEG	uv	0	300	seeg	2048
LMC5-LMC6	SEEG	uv	0	300	seeg	2048
LMC6-LMC7	SEEG	uv	0	300	seeg	2048
LMC7-LMC8	SEEG	uv	0	300	seeg	2048
LMC8-LMC9	SEEG	uv	0	300	seeg	2048
LMC9-LMC8	SEEG	uv	0	300	seeg	2048
LMC10-LMC11	SEEG	uv	0	300	seeg	2048
LMC11-LMC12	SEEG	uv	0	300	seeg	2048
LMC12-LMC11	SEEG	uv	0	300	seeg	2048
LPC1-LPC2	SEEG	uv	0	300	seeg	2048
LPC2-LPC3	SEEG	uv	0	300	seeg	2048
LPC3-LPC4	SEEG	uv	0	300	seeg	2048
LPC4-LPC5	SEEG	uv	0	300	seeg	2048
LPC5-LPC6	SEEG	uv	0	300	seeg	2048
LPC6-LPC7	SEEG	uv	0	300	seeg	2048
LPC7-LPC8	SEEG	uv	0	300	seeg	2048
LPC8-LPC9	SEEG	uv	0	300	seeg	2048
LPC9-LPC8	SEEG	uv	0	300	seeg	2048
LPC10-LPC11	SEEG	uv	0	300	seeg	2048
LPC11-LPC12	SEEG	uv	0	300	seeg	2048
LPC12-LPC13	SEEG	uv	0	300	seeg	2048
LPC13-LPC14	SEEG	uv	0	300	seeg	2048
LPC14-LPC13	SEEG	uv	0	300	seeg	2048
LAI1-LAI2	SEEG	uv	0	300	seeg	2048
LAI2-LAI3	SEEG	uv	0	300	seeg	2048
LAI3-LAI4	SEEG	uv	0	300	seeg	2048
LAI4-LAI5	SEEG	uv	0	300	seeg	2048
LAI5-LAI6	SEEG	uv	0	300	seeg	2048
LAI6-LAI7	SEEG	uv	0	300	seeg	2048
LAI7-LAI8	SEEG	uv	0	300	seeg	2048
LAI8-LAI9	SEEG	uv	0	300	seeg	2048
LAI9-LAI8	SEEG	uv	0	300	seeg	2048
LAI10-LAI11	SEEG	uv	0	300	seeg	2048
LAI11-LAI12	SEEG	uv	0	300	seeg	2048
LAI12-LAI13	SEEG	uv	0	300	seeg	2048
LAI13-LAI14	SEEG	uv	0	300	seeg	2048
LAI14-LAI15	SEEG	uv	0	300	seeg	2048
LAI15-LAI16	SEEG	uv	0	300	seeg	2048
LAI16-LAI15	SEEG	uv	0	300	seeg	2048
LPI1-LPI2	SEEG	uv	0	300	seeg	2048
LPI2-LPI3	SEEG	uv	0	300	seeg	2048
LPI3-LPI4	SEEG	uv	0	300	seeg	2048
LPI4-LPI5	SEEG	uv	0	300	seeg	2048
LPI5-LPI6	SEEG	uv	0	300	seeg	2048
LPI6-LPI7	SEEG	uv	0	300	seeg	2048
LPI7-LPI8	SEEG	uv	0	300	seeg	2048
LPI8-LPI9	SEEG	uv	0	300	seeg	2048
LPI9-LPI8	SEEG	uv	0	300	seeg	2048
LPI10-LPI11	SEEG	uv	0	300	seeg	2048
LPI11-LPI12	SEEG	uv	0	300	seeg	2048
LPI12-LPI13	SEEG	uv	0	300	seeg	2048
LPI13-LPI14	SEEG	uv	0	300	seeg	2048
LPI14-LPI15	SEEG	uv	0	300	seeg	2048
LPI15-LPI16	SEEG	uv	0	300	seeg	2048
LPI16-LPI15	SEEG	uv	0	300	seeg	2048
LFO1-LFO2	SEEG	uv	0	300	seeg	2048
LFO2-LFO3	SEEG	uv	0	300	seeg	2048
LFO3-LFO4	SEEG	uv	0	300	seeg	2048
LFO4-LFO5	SEEG	uv	0	300	seeg	2048
LFO5-LFO6	SEEG	uv	0	300	seeg	2048
LFO6-LFO5	SEEG	uv	0	300	seeg	2048
LPO1-LPO2	SEEG	uv	0	300	seeg	2048
LPO2-LPO3	SEEG	uv	0	300	seeg	2048
LPO3-LPO4	SEEG	uv	0	300	seeg	2048
LPO4-LPO5	SEEG	uv	0	300	seeg	2048
LPO5-LPO6	SEEG	uv	0	300	seeg	2048
LPO6-LPO7	SEEG	uv	0	300	seeg	2048
LPO7-LPO8	SEEG	uv	0	300	seeg	2048
LPO8-LPO7	SEEG	uv	0	300	seeg	2048
