name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA11	SEEG	uv	0	300	seeg	2048
RA11-RA12	SEEG	uv	0	300	seeg	2048
RA12-RA11	SEEG	uv	0	300	seeg	2048
RAH1-RAH2	SEEG	uv	0	300	seeg	2048
RAH2-RAH3	SEEG	uv	0	300	seeg	2048
RAH3-RAH4	SEEG	uv	0	300	seeg	2048
RAH4-RAH5	SEEG	uv	0	300	seeg	2048
RAH5-RAH6	SEEG	uv	0	300	seeg	2048
RAH6-RAH7	SEEG	uv	0	300	seeg	2048
RAH7-RAH8	SEEG	uv	0	300	seeg	2048
RAH8-RAH9	SEEG	uv	0	300	seeg	2048
RAH9-RAH10	SEEG	uv	0	300	seeg	2048
RAH10-RAH11	SEEG	uv	0	300	seeg	2048
RAH11-RAH12	SEEG	uv	0	300	seeg	2048
RAH12-RAH11	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH11	SEEG	uv	0	300	seeg	2048
RPH11-RPH12	SEEG	uv	0	300	seeg	2048
RPH12-RPH11	SEEG	uv	0	300	seeg	2048
LG1-LG2	SEEG	uv	0	300	seeg	2048
LG2-LG3	SEEG	uv	0	300	seeg	2048
LG3-LG4	SEEG	uv	0	300	seeg	2048
LG4-LG5	SEEG	uv	0	300	seeg	2048
LG5-LG6	SEEG	uv	0	300	seeg	2048
LG6-LG7	SEEG	uv	0	300	seeg	2048
LG7-LG8	SEEG	uv	0	300	seeg	2048
LG8-LG9	SEEG	uv	0	300	seeg	2048
LG9-LG10	SEEG	uv	0	300	seeg	2048
LG10-LG11	SEEG	uv	0	300	seeg	2048
LG11-LG12	SEEG	uv	0	300	seeg	2048
LG12-LG13	SEEG	uv	0	300	seeg	2048
LG13-LG14	SEEG	uv	0	300	seeg	2048
LG14-LG15	SEEG	uv	0	300	seeg	2048
LG15-LG16	SEEG	uv	0	300	seeg	2048
LG16-LG17	SEEG	uv	0	300	seeg	2048
LG17-LG18	SEEG	uv	0	300	seeg	2048
LG18-LG19	SEEG	uv	0	300	seeg	2048
LG19-LG20	SEEG	uv	0	300	seeg	2048
LG20-LG21	SEEG	uv	0	300	seeg	2048
LG21-LG22	SEEG	uv	0	300	seeg	2048
LG22-LG23	SEEG	uv	0	300	seeg	2048
LG23-LG24	SEEG	uv	0	300	seeg	2048
LG24-LG25	SEEG	uv	0	300	seeg	2048
LG25-LG26	SEEG	uv	0	300	seeg	2048
LG26-LG27	SEEG	uv	0	300	seeg	2048
LG27-LG28	SEEG	uv	0	300	seeg	2048
LG28-LG29	SEEG	uv	0	300	seeg	2048
LG29-LG30	SEEG	uv	0	300	seeg	2048
LG30-LG31	SEEG	uv	0	300	seeg	2048
LG31-LG32	SEEG	uv	0	300	seeg	2048
LG32-LG33	SEEG	uv	0	300	seeg	2048
LG33-LG34	SEEG	uv	0	300	seeg	2048
LG34-LG35	SEEG	uv	0	300	seeg	2048
LG35-LG34	SEEG	uv	0	300	seeg	2048
LAST1-LAST2	SEEG	uv	0	300	seeg	2048
LAST2-LAST3	SEEG	uv	0	300	seeg	2048
LAST3-LAST4	SEEG	uv	0	300	seeg	2048
LAST4-LAST3	SEEG	uv	0	300	seeg	2048
LPST1-LPST2	SEEG	uv	0	300	seeg	2048
LPST2-LPST3	SEEG	uv	0	300	seeg	2048
LPST3-LPST4	SEEG	uv	0	300	seeg	2048
LPST4-LPST3	SEEG	uv	0	300	seeg	2048
LPIN1-LPIN2	SEEG	uv	0	300	seeg	2048
LPIN2-LPIN3	SEEG	uv	0	300	seeg	2048
LPIN3-LPIN4	SEEG	uv	0	300	seeg	2048
LPIN4-LPIN5	SEEG	uv	0	300	seeg	2048
LPIN5-LPIN6	SEEG	uv	0	300	seeg	2048
LPIN6-LPIN7	SEEG	uv	0	300	seeg	2048
LPIN7-LPIN8	SEEG	uv	0	300	seeg	2048
LPIN8-LPIN9	SEEG	uv	0	300	seeg	2048
LPIN9-LPIN10	SEEG	uv	0	300	seeg	2048
LPIN10-LPIN11	SEEG	uv	0	300	seeg	2048
LPIN11-LPIN12	SEEG	uv	0	300	seeg	2048
LPIN12-LPIN13	SEEG	uv	0	300	seeg	2048
LPIN13-LPIN14	SEEG	uv	0	300	seeg	2048
LPIN14-LPIN15	SEEG	uv	0	300	seeg	2048
LPIN15-LPIN16	SEEG	uv	0	300	seeg	2048
LPIN16-LPIN15	SEEG	uv	0	300	seeg	2048
LPHG1-LPHG2	SEEG	uv	0	300	seeg	2048
LPHG2-LPHG3	SEEG	uv	0	300	seeg	2048
LPHG3-LPHG4	SEEG	uv	0	300	seeg	2048
LPHG4-LPHG5	SEEG	uv	0	300	seeg	2048
LPHG5-LPHG6	SEEG	uv	0	300	seeg	2048
LPHG6-LPHG5	SEEG	uv	0	300	seeg	2048
LTP1-LTP2	SEEG	uv	0	300	seeg	2048
LTP2-LTP3	SEEG	uv	0	300	seeg	2048
LTP3-LTP4	SEEG	uv	0	300	seeg	2048
LTP4-LTP3	SEEG	uv	0	300	seeg	2048
