name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
LTP1-LTP2	SEEG	uv	0	300	seeg	2048
LTP2-LTP3	SEEG	uv	0	300	seeg	2048
LTP3-LTP4	SEEG	uv	0	300	seeg	2048
LTP4-LTP5	SEEG	uv	0	300	seeg	2048
LTP5-LTP6	SEEG	uv	0	300	seeg	2048
LTP6-LTP7	SEEG	uv	0	300	seeg	2048
LTP7-LTP8	SEEG	uv	0	300	seeg	2048
LTP8-LTP9	SEEG	uv	0	300	seeg	2048
LTP9-LTP10	SEEG	uv	0	300	seeg	2048
LTP10-LTP9	SEEG	uv	0	300	seeg	2048
LSTG1-LSTG2	SEEG	uv	0	300	seeg	2048
LSTG2-LSTG3	SEEG	uv	0	300	seeg	2048
LSTG3-LSTG4	SEEG	uv	0	300	seeg	2048
LSTG4-LSTG5	SEEG	uv	0	300	seeg	2048
LSTG5-LSTG6	SEEG	uv	0	300	seeg	2048
LSTG6-LSTG5	SEEG	uv	0	300	seeg	2048
LA1-LA2	SEEG	uv	0	300	seeg	2048
LA2-LA3	SEEG	uv	0	300	seeg	2048
LA3-LA4	SEEG	uv	0	300	seeg	2048
LA4-LA5	SEEG	uv	0	300	seeg	2048
LA5-LA6	SEEG	uv	0	300	seeg	2048
LA6-LA7	SEEG	uv	0	300	seeg	2048
LA7-LA8	SEEG	uv	0	300	seeg	2048
LA8-LA9	SEEG	uv	0	300	seeg	2048
LA9-LA10	SEEG	uv	0	300	seeg	2048
LA10-LA11	SEEG	uv	0	300	seeg	2048
LA11-LA12	SEEG	uv	0	300	seeg	2048
LA12-LA11	SEEG	uv	0	300	seeg	2048
LAH1-LAH2	SEEG	uv	0	300	seeg	2048
LAH2-LAH3	SEEG	uv	0	300	seeg	2048
LAH3-LAH4	SEEG	uv	0	300	seeg	2048
LAH4-LAH5	SEEG	uv	0	300	seeg	2048
LAH5-LAH6	SEEG	uv	0	300	seeg	2048
LAH6-LAH7	SEEG	uv	0	300	seeg	2048
LAH7-LAH8	SEEG	uv	0	300	seeg	2048
LAH8-LAH9	SEEG	uv	0	300	seeg	2048
LAH9-LAH10	SEEG	uv	0	300	seeg	2048
LAH10-LAH11	SEEG	uv	0	300	seeg	2048
LAH11-LAH12	SEEG	uv	0	300	seeg	2048
LAH12-LAH11	SEEG	uv	0	300	seeg	2048
LPH1-LPH2	SEEG	uv	0	300	seeg	2048
LPH2-LPH3	SEEG	uv	0	300	seeg	2048
LPH3-LPH4	SEEG	uv	0	300	seeg	2048
LPH4-LPH5	SEEG	uv	0	300	seeg	2048
LPH5-LPH6	SEEG	uv	0	300	seeg	2048
LPH6-LPH7	SEEG	uv	0	300	seeg	2048
LPH7-LPH8	SEEG	uv	0	300	seeg	2048
LPH8-LPH9	SEEG	uv	0	300	seeg	2048
LPH9-LPH10	SEEG	uv	0	300	seeg	2048
LPH10-LPH11	SEEG	uv	0	300	seeg	2048
LPH11-LPH12	SEEG	uv	0	300	seeg	2048
LPH12-LPH11	SEEG	uv	0	300	seeg	2048
LAIN1-LAIN2	SEEG	uv	0	300	seeg	2048
LAIN2-LAIN3	SEEG	uv	0	300	seeg	2048
LAIN3-LAIN4	SEEG	uv	0	300	seeg	2048
LAIN4-LAIN5	SEEG	uv	0	300	seeg	2048
LAIN5-LAIN6	SEEG	uv	0	300	seeg	2048
LAIN6-LAIN7	SEEG	uv	0	300	seeg	2048
LAIN7-LAIN8	SEEG	uv	0	300	seeg	2048
LAIN8-LAIN9	SEEG	uv	0	300	seeg	2048
LAIN9-LAIN10	SEEG	uv	0	300	seeg	2048
LAIN10-LAIN11	SEEG	uv	0	300	seeg	2048
LAIN11-LAIN12	SEEG	uv	0	300	seeg	2048
LAIN12-LAIN13	SEEG	uv	0	300	seeg	2048
LAIN13-LAIN14	SEEG	uv	0	300	seeg	2048
LAIN14-LAIN15	SEEG	uv	0	300	seeg	2048
LAIN15-LAIN16	SEEG	uv	0	300	seeg	2048
LAIN16-LAIN15	SEEG	uv	0	300	seeg	2048
LPIN1-LPIN2	SEEG	uv	0	300	seeg	2048
LPIN2-LPIN3	SEEG	uv	0	300	seeg	2048
LPIN3-LPIN4	SEEG	uv	0	300	seeg	2048
LPIN4-LPIN5	SEEG	uv	0	300	seeg	2048
LPIN5-LPIN6	SEEG	uv	0	300	seeg	2048
LPIN6-LPIN7	SEEG	uv	0	300	seeg	2048
LPIN7-LPIN8	SEEG	uv	0	300	seeg	2048
LPIN8-LPIN9	SEEG	uv	0	300	seeg	2048
LPIN9-LPIN10	SEEG	uv	0	300	seeg	2048
LPIN10-LPIN11	SEEG	uv	0	300	seeg	2048
LPIN11-LPIN12	SEEG	uv	0	300	seeg	2048
LPIN12-LPIN13	SEEG	uv	0	300	seeg	2048
LPIN13-LPIN14	SEEG	uv	0	300	seeg	2048
LPIN14-LPIN15	SEEG	uv	0	300	seeg	2048
LPIN15-LPIN16	SEEG	uv	0	300	seeg	2048
LPIN16-LPIN15	SEEG	uv	0	300	seeg	2048
LAOF1-LAOF2	SEEG	uv	0	300	seeg	2048
LAOF2-LAOF3	SEEG	uv	0	300	seeg	2048
LAOF3-LAOF4	SEEG	uv	0	300	seeg	2048
LAOF4-LAOF5	SEEG	uv	0	300	seeg	2048
LAOF5-LAOF6	SEEG	uv	0	300	seeg	2048
LAOF6-LAOF7	SEEG	uv	0	300	seeg	2048
LAOF7-LAOF8	SEEG	uv	0	300	seeg	2048
LAOF8-LAOF9	SEEG	uv	0	300	seeg	2048
LAOF9-LAOF10	SEEG	uv	0	300	seeg	2048
LAOF10-LAOF11	SEEG	uv	0	300	seeg	2048
LAOF11-LAOF12	SEEG	uv	0	300	seeg	2048
LAOF12-LAOF13	SEEG	uv	0	300	seeg	2048
LAOF13-LAOF14	SEEG	uv	0	300	seeg	2048
LAOF14-LAOF15	SEEG	uv	0	300	seeg	2048
LAOF15-LAOF16	SEEG	uv	0	300	seeg	2048
LAOF16-LAOF15	SEEG	uv	0	300	seeg	2048
LPOF1-LPOF2	SEEG	uv	0	300	seeg	2048
LPOF2-LPOF3	SEEG	uv	0	300	seeg	2048
LPOF3-LPOF4	SEEG	uv	0	300	seeg	2048
LPOF4-LPOF5	SEEG	uv	0	300	seeg	2048
LPOF5-LPOF6	SEEG	uv	0	300	seeg	2048
LPOF6-LPOF7	SEEG	uv	0	300	seeg	2048
LPOF7-LPOF8	SEEG	uv	0	300	seeg	2048
LPOF8-LPOF9	SEEG	uv	0	300	seeg	2048
LPOF9-LPOF10	SEEG	uv	0	300	seeg	2048
LPOF10-LPOF11	SEEG	uv	0	300	seeg	2048
LPOF11-LPOF12	SEEG	uv	0	300	seeg	2048
LPOF12-LPOF13	SEEG	uv	0	300	seeg	2048
LPOF13-LPOF14	SEEG	uv	0	300	seeg	2048
LPOF14-LPOF15	SEEG	uv	0	300	seeg	2048
LPOF15-LPOF16	SEEG	uv	0	300	seeg	2048
LPOF16-LPOF15	SEEG	uv	0	300	seeg	2048
LAC1-LAC2	SEEG	uv	0	300	seeg	2048
LAC2-LAC3	SEEG	uv	0	300	seeg	2048
LAC3-LAC4	SEEG	uv	0	300	seeg	2048
LAC4-LAC5	SEEG	uv	0	300	seeg	2048
LAC5-LAC6	SEEG	uv	0	300	seeg	2048
LAC6-LAC7	SEEG	uv	0	300	seeg	2048
LAC7-LAC8	SEEG	uv	0	300	seeg	2048
LAC8-LAC9	SEEG	uv	0	300	seeg	2048
LAC9-LAC10	SEEG	uv	0	300	seeg	2048
LAC10-LAC11	SEEG	uv	0	300	seeg	2048
LAC11-LAC12	SEEG	uv	0	300	seeg	2048
LAC12-LAC11	SEEG	uv	0	300	seeg	2048
LMC1-LMC2	SEEG	uv	0	300	seeg	2048
LMC2-LMC3	SEEG	uv	0	300	seeg	2048
LMC3-LMC4	SEEG	uv	0	300	seeg	2048
LMC4-LMC5	SEEG	uv	0	300	seeg	2048
LMC5-LMC6	SEEG	uv	0	300	seeg	2048
LMC6-LMC7	SEEG	uv	0	300	seeg	2048
LMC7-LMC8	SEEG	uv	0	300	seeg	2048
LMC8-LMC9	SEEG	uv	0	300	seeg	2048
LMC9-LMC10	SEEG	uv	0	300	seeg	2048
LMC10-LMC11	SEEG	uv	0	300	seeg	2048
LMC11-LMC12	SEEG	uv	0	300	seeg	2048
LMC12-LMC13	SEEG	uv	0	300	seeg	2048
LMC13-LMC14	SEEG	uv	0	300	seeg	2048
LMC14-LMC13	SEEG	uv	0	300	seeg	2048
LPC1-LPC2	SEEG	uv	0	300	seeg	2048
LPC2-LPC3	SEEG	uv	0	300	seeg	2048
LPC3-LPC4	SEEG	uv	0	300	seeg	2048
LPC4-LPC5	SEEG	uv	0	300	seeg	2048
LPC5-LPC6	SEEG	uv	0	300	seeg	2048
LPC6-LPC7	SEEG	uv	0	300	seeg	2048
LPC7-LPC8	SEEG	uv	0	300	seeg	2048
LPC8-LPC9	SEEG	uv	0	300	seeg	2048
LPC9-LPC10	SEEG	uv	0	300	seeg	2048
LPC10-LPC11	SEEG	uv	0	300	seeg	2048
LPC11-LPC12	SEEG	uv	0	300	seeg	2048
LPC12-LPC13	SEEG	uv	0	300	seeg	2048
LPC13-LPC14	SEEG	uv	0	300	seeg	2048
LPC14-LPC13	SEEG	uv	0	300	seeg	2048
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA11	SEEG	uv	0	300	seeg	2048
RA11-RA12	SEEG	uv	0	300	seeg	2048
RA12-RA11	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH9	SEEG	uv	0	300	seeg	2048
RAC1-RAC2	SEEG	uv	0	300	seeg	2048
RAC2-RAC3	SEEG	uv	0	300	seeg	2048
RAC3-RAC4	SEEG	uv	0	300	seeg	2048
RAC4-RAC5	SEEG	uv	0	300	seeg	2048
RAC5-RAC6	SEEG	uv	0	300	seeg	2048
RAC6-RAC7	SEEG	uv	0	300	seeg	2048
RAC7-RAC8	SEEG	uv	0	300	seeg	2048
RAC8-RAC9	SEEG	uv	0	300	seeg	2048
RAC9-RAC10	SEEG	uv	0	300	seeg	2048
RAC10-RAC11	SEEG	uv	0	300	seeg	2048
RAC11-RAC12	SEEG	uv	0	300	seeg	2048
RAC12-RAC11	SEEG	uv	0	300	seeg	2048
