name	x	y	z	size	group	hemisphere
LTP1	-21.2	5.6	-38.5	2	seeg	left
LTP2	-25.7	4.6	-37.3	2	seeg	left
LTP3	-30.2	3.6	-36	2	seeg	left
LTP4	-34.7	2.7	-34.8	2	seeg	left
LTP5	-39.2	1.7	-33.6	2	seeg	left
LTP6	-43.7	0.7	-32.4	2	seeg	left
LTP7	-48.2	-0.2	-31.2	2	seeg	left
LTP8	-52.7	-1.1	-30	2	seeg	left
LTP9	-57.2	-2	-28.8	2	seeg	left
LTP10	-61.7	-2.9	-27.5	2	seeg	left
LSTG1	-44.9	-22.8	3.8	2	seeg	left
LSTG2	-49.2	-23.7	5.6	2	seeg	left
LSTG3	-53.5	-24.6	7.4	2	seeg	left
LSTG4	-57.8	-25.6	9.1	2	seeg	left
LSTG5	-62.1	-26.5	10.9	2	seeg	left
LSTG6	-66.4	-27.4	12.6	2	seeg	left
LA1	-13.2	-5.6	-18.6	2	seeg	left
LA2	-17.8	-4.7	-19	2	seeg	left
LA3	-22.4	-3.9	-19.4	2	seeg	left
LA4	-26.9	-3.1	-19.8	2	seeg	left
LA5	-31.5	-2.2	-20.2	2	seeg	left
LA6	-36	-1.4	-20.6	2	seeg	left
LA7	-40.6	-0.6	-21	2	seeg	left
LA8	-45.1	0.3	-21.3	2	seeg	left
LA9	-49.7	1.2	-21.7	2	seeg	left
LA10	-54.3	2.1	-22.1	2	seeg	left
LA11	-58.8	3	-22.5	2	seeg	left
LA12	-63.4	3.9	-22.9	2	seeg	left
LAH1	-19.2	-17.5	-15.2	2	seeg	left
LAH2	-23.8	-17.8	-14.6	2	seeg	left
LAH3	-28.5	-18.1	-14	2	seeg	left
LAH4	-33.2	-18.4	-13.5	2	seeg	left
LAH5	-37.8	-18.6	-12.9	2	seeg	left
LAH6	-42.5	-18.9	-12.3	2	seeg	left
LAH7	-47.2	-19.2	-11.8	2	seeg	left
LAH8	-51.8	-19.5	-11.2	2	seeg	left
LAH9	-56.5	-19.7	-10.6	2	seeg	left
LAH10	-61.2	-20	-10.1	2	seeg	left
LAH11	-65.8	-20.3	-9.5	2	seeg	left
LAH12	-70.5	-20.6	-8.9	2	seeg	left
LPH1	-17	-27.5	-6.1	2	seeg	left
LPH2	-21.5	-28.3	-6.8	2	seeg	left
LPH3	-26.1	-29.1	-7.4	2	seeg	left
LPH4	-30.7	-29.9	-8.1	2	seeg	left
LPH5	-35.3	-30.7	-8.8	2	seeg	left
LPH6	-39.9	-31.5	-9.4	2	seeg	left
LPH7	-44.5	-32.3	-10.1	2	seeg	left
LPH8	-49.1	-33.1	-10.8	2	seeg	left
LPH9	-53.7	-33.9	-11.4	2	seeg	left
LPH10	-58.2	-34.7	-12.1	2	seeg	left
LPH11	-62.8	-35.5	-12.8	2	seeg	left
LPH12	-67.4	-36.3	-13.4	2	seeg	left
LAIN1	-25.5	11	-16.4	2	seeg	left
LAIN2	-26.1	10.9	-11.8	2	seeg	left
LAIN3	-26.6	10.8	-7.1	2	seeg	left
LAIN4	-27.1	10.6	-2.4	2	seeg	left
LAIN5	-27.6	10.5	2.2	2	seeg	left
LAIN6	-28.2	10.4	6.6	2	seeg	left
LAIN7	-28.7	10.3	11.1	2	seeg	left
LAIN8	-29.2	10.2	15.6	2	seeg	left
LAIN9	-29.8	10	20.1	2	seeg	left
LAIN10	-30.3	9.9	24.6	2	seeg	left
LAIN11	-30.8	9.8	29	2	seeg	left
LAIN12	-31.3	9.7	33.5	2	seeg	left
LAIN13	-31.9	9.6	38	2	seeg	left
LAIN14	-32.4	9.4	42.5	2	seeg	left
LAIN15	-32.9	9.3	46.9	2	seeg	left
LAIN16	-33.5	9.2	51.4	2	seeg	left
LPIN1	-30.2	6.8	-8.4	2	seeg	left
LPIN2	-30.4	3.4	-5.1	2	seeg	left
LPIN3	-30.6	0.1	-1.7	2	seeg	left
LPIN4	-30.8	-3	1.5	2	seeg	left
LPIN5	-31	-6.1	4.7	2	seeg	left
LPIN6	-31.2	-9.1	7.9	2	seeg	left
LPIN7	-31.4	-12.2	11.1	2	seeg	left
LPIN8	-31.6	-15.3	14.3	2	seeg	left
LPIN9	-31.8	-18.3	17.5	2	seeg	left
LPIN10	-32	-21.4	20.7	2	seeg	left
LPIN11	-32.2	-24.6	23.9	2	seeg	left
LPIN12	-32.4	-28	27.1	2	seeg	left
LPIN13	-32.6	-31.3	30.3	2	seeg	left
LPIN14	-32.8	-34.7	33.5	2	seeg	left
LPIN15	-33	-38.1	36.7	2	seeg	left
LPIN16	-33.2	-41.4	39.9	2	seeg	left
LAOF1	-3.7	56.4	-11.3	2	seeg	left
LAOF2	-7.3	54.5	-9	2	seeg	left
LAOF3	-11	52.5	-6.8	2	seeg	left
LAOF4	-14.6	50.5	-4.5	2	seeg	left
LAOF5	-18.3	48.5	-2.2	2	seeg	left
LAOF6	-22	46.6	0	2	seeg	left
LAOF7	-25.6	44.6	2.2	2	seeg	left
LAOF8	-29.3	42.6	4.4	2	seeg	left
