name	x	y	z	size	group	hemisphere
RPIN1	36.1	6.1	-13.2	2	seeg	right
RPIN2	35.8	2.2	-10.3	2	seeg	right
RPIN3	35.5	-1.4	-7.5	2	seeg	right
RPIN4	35.2	-4.9	-4.6	2	seeg	right
RPIN5	34.9	-8.3	-1.8	2	seeg	right
RPIN6	34.6	-11.7	1.2	2	seeg	right
RPIN7	34.3	-15.1	4.2	2	seeg	right
RPIN8	34	-18.5	7.3	2	seeg	right
RPIN9	33.7	-21.9	10.4	2	seeg	right
RPIN10	33.4	-25.7	13.5	2	seeg	right
RPIN11	33	-29.7	16.6	2	seeg	right
RPIN12	32.7	-33.6	19.7	2	seeg	right
RPIN13	32.4	-37.7	22.8	2	seeg	right
RPIN14	32.1	-41.7	25.9	2	seeg	right
RPIN15	31.8	-45.6	29	2	seeg	right
RPIN16	31.5	-49.7	32.1	2	seeg	right
RAOF1	5.8	50.7	-19.2	2	seeg	right
RAOF2	9.4	50.5	-15.9	2	seeg	right
RAOF3	12.9	50.2	-12.7	2	seeg	right
RAOF4	16.5	50	-9.5	2	seeg	right
RAOF5	20	49.7	-6.2	2	seeg	right
RAOF6	23.5	49.5	-3	2	seeg	right
RAOF7	27.1	49.2	0.3	2	seeg	right
RAOF8	30.6	49	3.8	2	seeg	right
RAOF9	34.2	48.7	7.3	2	seeg	right
RAOF10	37.7	48.5	10.8	2	seeg	right
RAOF11	41.3	48.2	14.3	2	seeg	right
RAOF12	44.8	48	17.8	2	seeg	right
RPOF1	7	29.5	-20.2	2	seeg	right
RPOF2	10.9	29.3	-17.2	2	seeg	right
RPOF3	14.8	29.2	-14.3	2	seeg	right
RPOF4	18.7	29	-11.3	2	seeg	right
RPOF5	22.5	28.9	-8.3	2	seeg	right
RPOF6	26.4	28.7	-5.3	2	seeg	right
RPOF7	30.3	28.5	-2.3	2	seeg	right
RPOF8	34.2	28.4	0.7	2	seeg	right
RPOF9	38.1	28.2	4	2	seeg	right
RPOF10	41.9	28.1	7.2	2	seeg	right
RPOF11	45.8	27.9	10.4	2	seeg	right
RPOF12	49.7	27.8	13.7	2	seeg	right
RPOF13	53.6	27.6	16.9	2	seeg	right
RPOF14	57.5	27.5	20.2	2	seeg	right
RTE1	26.1	6.4	-46.1	2	seeg	right
RTE2	30.3	6.6	-43.7	2	seeg	right
RTE3	34.6	6.9	-41.3	2	seeg	right
RTE4	38.8	7.1	-38.8	2	seeg	right
RTE5	43.1	7.3	-36.4	2	seeg	right
RTE6	47.3	7.5	-34	2	seeg	right
RTE7	51.6	7.8	-31.6	2	seeg	right
RTE8	55.8	8	-29.2	2	seeg	right
RTE9	60.1	8.2	-26.8	2	seeg	right
RTE10	64.3	8.4	-24.3	2	seeg	right
RTP1	24.7	8.6	-44	2	seeg	right
RTP2	28.9	7.9	-41.7	2	seeg	right
RTP3	33	7.2	-39.4	2	seeg	right
RTP4	37.2	6.5	-37	2	seeg	right
RTP5	41.4	5.9	-34.7	2	seeg	right
RTP6	45.6	5.2	-32.3	2	seeg	right
RTP7	49.8	4.5	-30	2	seeg	right
RTP8	54	3.9	-27.6	2	seeg	right
RTP9	58.1	3.2	-25.3	2	seeg	right
RTP10	62.3	2.5	-23	2	seeg	right
RAH1	22.8	-9.5	-20.8	2	seeg	right
RAH2	27.7	-9.8	-19.7	2	seeg	right
RAH3	32.6	-10.2	-18.6	2	seeg	right
RAH4	37.5	-10.5	-17.5	2	seeg	right
RAH5	42.3	-10.9	-16.4	2	seeg	right
RAH6	47.2	-11.2	-15.3	2	seeg	right
RAH7	52.1	-11.6	-14.1	2	seeg	right
RAH8	57	-11.9	-13	2	seeg	right
RAH9	61.8	-12.2	-11.9	2	seeg	right
RAH10	66.7	-12.6	-10.8	2	seeg	right
RPH1	27.5	-22.6	-12.9	2	seeg	right
RPH2	32.3	-23.3	-11.7	2	seeg	right
RPH3	37.2	-24	-10.6	2	seeg	right
RPH4	42	-24.8	-9.5	2	seeg	right
RPH5	46.8	-25.5	-8.3	2	seeg	right
RPH6	51.6	-26.2	-7.2	2	seeg	right
RPH7	56.4	-27	-6	2	seeg	right
RPH8	61.2	-27.7	-4.9	2	seeg	right
RPH9	66.1	-28.4	-3.8	2	seeg	right
RPH10	70.9	-29.1	-2.6	2	seeg	right
RA1	21.5	-2.9	-19.1	2	seeg	right
RA2	26.4	-2.7	-19.7	2	seeg	right
RA3	31.4	-2.6	-20.4	2	seeg	right
RA4	36.4	-2.5	-21	2	seeg	right
RA5	41.3	-2.3	-21.7	2	seeg	right
RA6	46.3	-2.2	-22.4	2	seeg	right
RA7	51.3	-2.1	-23	2	seeg	right
RA8	56.2	-2	-23.7	2	seeg	right
RA9	61.2	-1.8	-24.3	2	seeg	right
RA10	66.2	-1.7	-25	2	seeg	right
