name	x	y	z	size	group	hemisphere
TP1	-15.1	-19.3	-16.4	2	seeg	left
TP2	-15.2	-10.8	-19.4	2	seeg	left
TP3	-16.2	-1.9	-22.4	2	seeg	left
TP4	-18.1	7.4	-25	2	seeg	left
TP5	-22.4	16.8	-26.4	2	seeg	left
TP6	-29.7	23.2	-25.1	2	seeg	left
G01	-9.5	40.2	-12.8	2	seeg	left
G02	-17.6	33.5	-12.5	2	seeg	left
G03	-25	26.4	-13.5	2	seeg	left
G04	-32.6	19.9	-16.7	2	seeg	left
G05	-40.4	13.9	-18.4	2	seeg	left
G06	-47.4	6.6	-19.3	2	seeg	left
G07	-52.7	-1.6	-18.2	2	seeg	left
G08	-56.1	-10.2	-16.1	2	seeg	left
G09	-17.2	48.3	-8.3	2	seeg	left
G10	-24.5	40.8	-8.3	2	seeg	left
G11	-31.4	33.4	-8.5	2	seeg	left
G12	-38.3	25.9	-9.9	2	seeg	left
G13	-45	18.5	-10.4	2	seeg	left
G14	-50.2	9.6	-9.4	2	seeg	left
G15	-53.7	0.1	-7.9	2	seeg	left
G16	-56.1	-8.5	-5.9	2	seeg	left
G17	-23.7	54.3	-4.3	2	seeg	left
G18	-30.3	46.5	-3.8	2	seeg	left
G19	-36.7	38.5	-2.9	2	seeg	left
G20	-42.6	30.3	-2.2	2	seeg	left
G21	-46.8	21.3	-0.9	2	seeg	left
G22	-49.2	11.7	0.6	2	seeg	left
G23	-53.5	1.9	2.5	2	seeg	left
G24	-56.2	-7.1	3.9	2	seeg	left
G25	-28.1	59.4	2.8	2	seeg	left
G26	-33.7	50.7	4.5	2	seeg	left
G27	-38.8	41.8	6.3	2	seeg	left
G28	-43.2	32.8	8	2	seeg	left
G29	-46.7	23.4	9.4	2	seeg	left
G30	-49.5	13	11	2	seeg	left
G31	-52.4	3.2	12.2	2	seeg	left
G32	-55.2	-6	13.8	2	seeg	left
G33	-27.7	60.6	12.3	2	seeg	left
G34	-33	51.9	14.3	2	seeg	left
G35	-37.6	43.2	16.1	2	seeg	left
G36	-41.7	33.7	17.6	2	seeg	left
G37	-45.4	24.1	19.3	2	seeg	left
G38	-48.5	14.3	20.5	2	seeg	left
G39	-51.7	4.3	22.1	2	seeg	left
G40	-53.8	-5.2	23.2	2	seeg	left
G41	-24.3	60.6	21.2	2	seeg	left
G42	-29.5	52.1	23.4	2	seeg	left
G43	-34.8	43.4	25.3	2	seeg	left
G44	-39.4	34.2	27.1	2	seeg	left
G45	-43.5	24.8	28.5	2	seeg	left
G46	-46.4	14.9	30.2	2	seeg	left
G47	-49.6	5.3	31.6	2	seeg	left
G48	-51.4	-4.6	32.8	2	seeg	left
G49	-18.6	58.9	29.5	2	seeg	left
G50	-25	50.9	32	2	seeg	left
G51	-30.5	42.9	34.6	2	seeg	left
G52	-35.7	34.4	36.3	2	seeg	left
G53	-40.7	25.4	38.5	2	seeg	left
G54	-43.9	15.6	39.6	2	seeg	left
G55	-46.4	5.5	41.3	2	seeg	left
G56	-49.3	-3.7	42.4	2	seeg	left
G57	-12.1	56.1	37.5	2	seeg	left
G58	-19	49.5	40.4	2	seeg	left
G59	-25.4	41.7	42.9	2	seeg	left
G60	-30.9	33.2	45.2	2	seeg	left
G61	-36.4	25.4	47.6	2	seeg	left
G62	-40.2	15.9	49.4	2	seeg	left
G63	-41.9	5.9	50.1	2	seeg	left
G64	-44.4	-3.9	51.1	2	seeg	left
ATP1	-20.1	-15.7	-25.1	2	seeg	left
ATP2	-23	-8.2	-31.7	2	seeg	left
ATP3	-27.1	-2	-35.6	2	seeg	left
ATP4	-33.2	4.9	-33.6	2	seeg	left
MTP1	-22.1	-8.7	-31.4	2	seeg	left
MTP27	-31.7	-5.4	-36.6	2	seeg	left
MTP3	-40.7	-3	-36.9	2	seeg	left
MTP4	-49	-2.8	-31.7	2	seeg	left
PTP1	-22.8	-26.2	-20.7	2	seeg	left
PTP2	-30	-22.5	-25.9	2	seeg	left
PTP3	-38.1	-19.5	-29.2	2	seeg	left
PTP4	-47.3	-15	-31.8	2	seeg	left
