name	x	y	z	size	group	hemisphere
RAOF1	-11.3	-7.3	-12.8	2	seeg	right
RAOF2	-14.8	-7.1	-13	2	seeg	right
RAOF3	-18.3	-7	-13.2	2	seeg	right
RAOF4	-21.8	-6.8	-13.4	2	seeg	right
RAOF5	-25.2	-6.7	-13.6	2	seeg	right
RAOF6	-28.7	-6.5	-13.8	2	seeg	right
RAOF7	-32.2	-6.4	-14	2	seeg	right
RAOF8	-35.6	-6.2	-14.2	2	seeg	right
RAOF9	-39.1	-6.1	-14.3	2	seeg	right
RAOF10	-42.6	-5.9	-14.5	2	seeg	right
RAOF11	-46.1	-5.8	-14.7	2	seeg	right
RAOF12	-49.5	-5.6	-14.9	2	seeg	right
RAOF13	-53	-5.5	-15.1	2	seeg	right
RAOF14	-56.5	-5.3	-15.3	2	seeg	right
RPOF1	-18.7	-12.1	-14.7	2	seeg	right
RPOF2	-22.2	-12.2	-14.7	2	seeg	right
RPOF3	-25.7	-12.3	-14.6	2	seeg	right
RPOF4	-29.1	-12.4	-14.6	2	seeg	right
RPOF5	-32.6	-12.6	-14.6	2	seeg	right
RPOF6	-36.1	-12.7	-14.6	2	seeg	right
RPOF7	-39.6	-12.8	-14.5	2	seeg	right
RPOF8	-43.1	-12.9	-14.5	2	seeg	right
RPOF9	-46.6	-13	-14.5	2	seeg	right
RPOF10	-50.1	-13.1	-14.5	2	seeg	right
RPOF11	-53.6	-13.2	-14.4	2	seeg	right
RPOF12	-57.1	-13.3	-14.4	2	seeg	right
RPOF13	-32.1	-20	-10.5	2	seeg	right
RPOF14	-35.4	-20.3	-10.1	2	seeg	right
RPOF15	-38.7	-20.7	-9.7	2	seeg	right
RPOF16	-42	-21	-9.2	2	seeg	right
RAIN1	-45.3	-21.3	-8.8	2	seeg	right
RAIN2	-48.6	-21.6	-8.4	2	seeg	right
RAIN3	-51.9	-22	-8	2	seeg	right
RAIN4	-55.2	-22.3	-7.6	2	seeg	right
RAIN5	-58.5	-22.6	-7.2	2	seeg	right
RAIN6	-61.8	-22.9	-6.7	2	seeg	right
RAIN7	-65.1	-23.3	-6.3	2	seeg	right
RAIN8	-68.4	-23.7	-5.9	2	seeg	right
RAIN9	-71.7	-24.1	-5.5	2	seeg	right
RAIN10	-75	-24.5	-5.1	2	seeg	right
RAIN11	-8.3	60.9	-11.7	2	seeg	right
RAIN12	-11.3	58.5	-10.3	2	seeg	right
RAIN13	-14.3	56.1	-9	2	seeg	right
RAIN14	-17.2	53.8	-7.6	2	seeg	right
RAIN15	-20.2	51.4	-6.2	2	seeg	right
RAIN16	-23.2	49.1	-4.9	2	seeg	right
RMIN1	-26.1	46.7	-3.5	2	seeg	right
RMIN2	-29.1	44.4	-2.1	2	seeg	right
RMIN3	-32	42	-0.8	2	seeg	right
RMIN4	-35	39.6	0.6	2	seeg	right
RMIN5	-38	37.3	1.9	2	seeg	right
RMIN6	-40.9	34.9	3.3	2	seeg	right
RMIN7	-43.9	32.6	4.6	2	seeg	right
RMIN8	-46.8	30.2	5.9	2	seeg	right
RMIN9	-49.8	27.8	7.3	2	seeg	right
RMIN10	-52.8	25.5	8.6	2	seeg	right
RMIN11	-6	49	-14.1	2	seeg	right
RMIN12	-8.8	47.3	-12	2	seeg	right
RMIN13	-11	45	-8.9	2	seeg	right
RMIN14	-14.2	42.5	-6.5	2	seeg	right
RMIN15	-15.7	41.3	-5.1	2	seeg	right
RMIN16	-18.1	39.6	-3.5	2	seeg	right
RAC1	-20.8	37.6	-1.1	2	seeg	right
RAC2	-23.7	35.5	1.6	2	seeg	right
RAC3	-26.1	33.7	4	2	seeg	right
RAC4	-28.6	32	6.5	2	seeg	right
RAC5	-31.3	30.3	8.6	2	seeg	right
RAC6	-34.2	28.7	10	2	seeg	right
RAC7	-36.8	27.2	12	2	seeg	right
RAC8	-40.1	25.4	14.7	2	seeg	right
RAC9	-43.9	24.2	15.5	2	seeg	right
RAC10	-47.9	23	17	2	seeg	right
RAC11	-6.9	38.7	-13.2	2	seeg	right
RAC12	-9.7	37.6	-10.6	2	seeg	right
RAC13	-12.5	36.5	-8	2	seeg	right
RAC14	-15.3	35.4	-5.4	2	seeg	right
RAC15	-18.1	34.3	-2.7	2	seeg	right
RAC16	-20.9	33.2	-0.1	2	seeg	right
RMC1	-23.7	32.1	2.5	2	seeg	right
RMC2	-26.5	31	5.1	2	seeg	right
RMC3	-29.3	30	7.7	2	seeg	right
RMC4	-32.1	28.9	10.2	2	seeg	right
RMC5	-34.9	27.8	12.8	2	seeg	right
RMC6	-37.7	26.7	15.4	2	seeg	right
RMC7	-40.5	25.6	18	2	seeg	right
RMC8	-43.3	24.5	20.6	2	seeg	right
RMC9	-46	23.4	23.2	2	seeg	right
RMC10	-48.8	22.3	25.8	2	seeg	right
RMC11	-3.5	47.8	-1.4	2	seeg	right
RMC12	-4.5	46.3	2.2	2	seeg	right
RMC13	-5.6	44.8	5.7	2	seeg	right
RMC14	-6.7	43.3	9.3	2	seeg	right
RPC1	-7.8	41.8	12.9	2	seeg	right
RPC2	-8.9	40.3	16.5	2	seeg	right
RPC3	-10	38.8	20	2	seeg	right
RPC4	-11	37.3	23.6	2	seeg	right
RPC5	-12.1	35.9	27.2	2	seeg	right
RPC6	-13.2	34.4	30.8	2	seeg	right
RPC7	-14.3	32.9	34.3	2	seeg	right
RPC8	-15.4	31.4	37.9	2	seeg	right
