name	x	y	z	size	group	hemisphere
LA1	-24	-4.1	-12.5	2	seeg	left
LA2	-26.4	-4	-12.8	2	seeg	left
LA3	-32.7	-3.5	-13.1	2	seeg	left
LA4	-38.9	-3.1	-13.3	2	seeg	left
LA5	-45.2	-2.6	-13.5	2	seeg	left
LA6	-51.4	-2.1	-13.7	2	seeg	left
LA7	-57.7	-1.7	-13.9	2	seeg	left
LA8	-63.9	-1.2	-14.1	2	seeg	left
LA9	-70.2	-0.7	-14.3	2	seeg	left
LA10	-76.4	-0.2	-14.6	2	seeg	left
LAH1	-18.6	-9.4	-11.6	2	seeg	left
LAH2	-22.2	-9.5	-11.7	2	seeg	left
LAH3	-25.8	-9.5	-11.7	2	seeg	left
LAH4	-29.4	-9.6	-11.7	2	seeg	left
LAH5	-33	-9.7	-11.7	2	seeg	left
LAH6	-36.6	-9.7	-11.7	2	seeg	left
LAH7	-40.3	-9.8	-11.7	2	seeg	left
LAH8	-43.9	-9.9	-11.7	2	seeg	left
LAH9	-47.5	-10	-11.7	2	seeg	left
LAH10	-51.1	-10	-11.7	2	seeg	left
LAH11	-54.7	-10.1	-11.7	2	seeg	left
LAH12	-58.3	-10.2	-11.7	2	seeg	left
LPH1	-25.8	-16.4	-7.8	2	seeg	left
LPH2	-29.2	-17.3	-7.5	2	seeg	left
LPH3	-32.6	-18.2	-7.3	2	seeg	left
LPH4	-36	-19.1	-7	2	seeg	left
LPH5	-39.4	-20	-6.8	2	seeg	left
LPH6	-42.8	-20.9	-6.5	2	seeg	left
LPH7	-46.3	-21.8	-6.2	2	seeg	left
LPH8	-49.7	-22.8	-6	2	seeg	left
LPH9	-53.1	-23.9	-5.7	2	seeg	left
LPH10	-56.5	-25.2	-5.5	2	seeg	left
LPH11	-59.9	-26.5	-5.2	2	seeg	left
LPH12	-63.3	-27.7	-4.9	2	seeg	left
LSTP1	-40.3	12.5	-19	2	seeg	left
LSTP2	-43.7	11	-16.9	2	seeg	left
LSTP3	-47	9.4	-14.7	2	seeg	left
LSTP4	-50.4	7.9	-12.5	2	seeg	left
LSTP5	-53.8	6.4	-10.4	2	seeg	left
LSTP6	-57.1	4.8	-8.2	2	seeg	left
LSTP7	-60.5	3.3	-6.1	2	seeg	left
LSTP8	-63.9	1.8	-3.9	2	seeg	left
LAOF1	-2.6	56.7	-9.6	2	seeg	left
LAOF2	-5.6	55.1	-8.4	2	seeg	left
LAOF3	-8.6	53.5	-7.3	2	seeg	left
LAOF4	-11.5	51.9	-6.1	2	seeg	left
LAOF5	-14.5	50.4	-5	2	seeg	left
LAOF6	-17.5	48.8	-3.8	2	seeg	left
LAOF7	-20.5	47.2	-2.6	2	seeg	left
LAOF8	-23.5	45.6	-1.5	2	seeg	left
LAOF9	-26.5	44	-0.3	2	seeg	left
LAOF10	-29.5	42.4	0.9	2	seeg	left
LAOF11	-32.4	40.8	2.1	2	seeg	left
LAOF12	-35.4	39.3	3.4	2	seeg	left
LAOF13	-38.4	37.7	4.6	2	seeg	left
LAOF14	-41.4	36.1	5.9	2	seeg	left
LAOF15	-44.4	34.5	7.1	2	seeg	left
LAOF16	-47.3	32.9	8.3	2	seeg	left
LPOF1	-6.6	26.4	-14	2	seeg	left
LPOF2	-10.2	25	-12.5	2	seeg	left
LPOF3	-13.7	23.5	-10.9	2	seeg	left
LPOF4	-17.3	22	-9.4	2	seeg	left
LPOF5	-20.8	20.5	-7.9	2	seeg	left
LPOF6	-24.4	19.1	-6.4	2	seeg	left
LPOF7	-27.9	17.6	-4.9	2	seeg	left
LPOF8	-31.5	16.1	-3.4	2	seeg	left
LPOF9	-35	14.6	-1.9	2	seeg	left
LPOF10	-38.6	13.2	-0.4	2	seeg	left
LPOF11	-42.1	11.7	1.2	2	seeg	left
LPOF12	-45.7	10.2	2.9	2	seeg	left
LPOF13	-49.2	8.8	4.5	2	seeg	left
LPOF14	-52.8	7.3	6.1	2	seeg	left
LPOF15	-56.3	5.8	7.7	2	seeg	left
LPOF16	-59.9	4.3	9.3	2	seeg	left
LPIN1	-40.3	3.3	-5.7	2	seeg	left
LPIN2	-39.3	-0.7	-0.9	2	seeg	left
LPIN3	-38.2	-4.1	4.2	2	seeg	left
LPIN4	-37.2	-7.5	9.3	2	seeg	left
LPIN5	-36.1	-10.8	14.5	2	seeg	left
LPIN6	-35.1	-14.2	19.6	2	seeg	left
LPIN7	-34.1	-17.5	24.8	2	seeg	left
LPIN8	-33	-20.9	29.9	2	seeg	left
LPIN9	-32	-24.8	35.1	2	seeg	left
LPIN10	-30.9	-29.5	40.3	2	seeg	left
LPIN11	-29.9	-34.2	45.4	2	seeg	left
LPIN12	-28.8	-38.9	50.6	2	seeg	left
LPIN13	-27.8	-43.6	55.7	2	seeg	left
LPIN14	-26.7	-48.3	60.9	2	seeg	left
LPIN15	-25.7	-53	66	2	seeg	left
LPIN16	-24.7	-57.8	71.2	2	seeg	left
LAC1	-3.3	31.3	-18.5	2	seeg	left
LAC2	-3.7	32.2	-14.3	2	seeg	left
LAC3	-4.1	33.1	-10	2	seeg	left
LAC4	-4.5	34	-5.8	2	seeg	left
LAC5	-4.9	34.9	-1.5	2	seeg	left
LAC6	-5.3	35.8	2.9	2	seeg	left
LAC7	-5.7	36.7	7.5	2	seeg	left
LAC8	-6.1	37.7	12	2	seeg	left
LAC9	-6.5	38.6	16.5	2	seeg	left
LAC10	-6.9	39.5	21.1	2	seeg	left
LAC11	-7.2	40.4	25.6	2	seeg	left
LAC12	-7.6	41.3	30.2	2	seeg	left
LAC13	-8	42.2	34.7	2	seeg	left
LAC14	-8.4	43.1	39.3	2	seeg	left
LAC15	-8.8	44	43.8	2	seeg	left
LAC16	-9.2	44.9	48.4	2	seeg	left
LMC1	-4.1	22.2	16.1	2	seeg	left
LMC2	-5.6	23.2	19.1	2	seeg	left
LMC3	-7.1	24.3	22.2	2	seeg	left
LMC4	-8.5	25.3	25.2	2	seeg	left
LMC5	-10	26.4	28.2	2	seeg	left
LMC6	-11.5	27.5	31.3	2	seeg	left
LMC7	-12.9	28.5	34.3	2	seeg	left
LMC8	-14.4	29.6	37.3	2	seeg	left
LMC9	-15.8	30.6	40.4	2	seeg	left
LMC10	-17.3	31.7	43.4	2	seeg	left
LMC11	-18.8	32.8	46.4	2	seeg	left
LMC12	-20.2	33.8	49.5	2	seeg	left
LTP1	-37.1	7.3	-29.8	2	seeg	left
LTP2	-37.2	4.9	-28.6	2	seeg	left
LTP3	-37.4	2.6	-27.4	2	seeg	left
LTP4	-37.9	-2.5	-24.4	2	seeg	left
LTP5	-38.5	-6.7	-21.7	2	seeg	left
LTP6	-39	-10.9	-19	2	seeg	left
LTP7	-39.5	-15.3	-16	2	seeg	left
LTP8	-39.9	-19.6	-13	2	seeg	left
LTP9	-40.1	-24	-10.2	2	seeg	left
LTP10	-40.2	-29.8	-7.3	2	seeg	left
RA1	15.9	-7.1	-11.5	2	seeg	right
RA2	19.3	-7	-11.9	2	seeg	right
RA3	22.6	-6.9	-12.3	2	seeg	right
RA4	26	-6.8	-12.7	2	seeg	right
RA5	29.4	-6.7	-13.1	2	seeg	right
RA6	32.7	-6.6	-13.5	2	seeg	right
RA7	36.1	-6.5	-13.9	2	seeg	right
RA8	39.4	-6.4	-14.3	2	seeg	right
RA9	42.8	-6.3	-14.7	2	seeg	right
RA10	46.1	-6.2	-15.1	2	seeg	right
RA11	49.5	-6.1	-15.5	2	seeg	right
RA12	52.9	-6	-15.9	2	seeg	right
RAH1	23.5	-12.2	-9.1	2	seeg	right
RAH2	26.9	-12.4	-9	2	seeg	right
RAH3	30.4	-12.6	-8.9	2	seeg	right
RAH4	33.9	-12.8	-8.9	2	seeg	right
RAH5	37.4	-13	-8.8	2	seeg	right
RAH6	40.9	-13.1	-8.7	2	seeg	right
