name	x	y	z	size	group	hemisphere
RAIN1	29.8	8.8	-8.2	2	seeg	right
RAIN2	32.8	9	-6.7	2	seeg	right
RAIN3	35.9	9.1	-5.2	2	seeg	right
RAIN4	38.9	9.2	-3.7	2	seeg	right
RAIN5	41.9	9.3	-2.3	2	seeg	right
RAIN6	45	9.4	-0.8	2	seeg	right
RAIN7	48	9.5	0.7	2	seeg	right
RAIN8	51	9.7	2	2	seeg	right
RMIN1	33.9	2.2	-0.8	2	seeg	right
RMIN2	36.6	1.2	1.1	2	seeg	right
RMIN3	39.3	0.1	3	2	seeg	right
RMIN4	42	-0.8	4.9	2	seeg	right
RMIN5	44.7	-1.6	6.7	2	seeg	right
RMIN6	47.4	-2.5	8.6	2	seeg	right
RMIN7	50.1	-3.3	10.5	2	seeg	right
RMIN8	52.8	-4.2	12.3	2	seeg	right
RMIN9	55.4	-5	14.2	2	seeg	right
RMIN10	58.1	-5.9	16.1	2	seeg	right
STPIN1	35.2	-5.5	-9.6	2	seeg	right
STPIN2	38.2	-6.4	-8.1	2	seeg	right
STPIN3	41.3	-7.2	-6.6	2	seeg	right
STPIN4	44.3	-8.1	-5.1	2	seeg	right
STPIN5	47.4	-8.9	-3.6	2	seeg	right
STPIN6	50.4	-9.7	-2.2	2	seeg	right
STPIN7	53.4	-10.6	-0.7	2	seeg	right
STPIN8	56.5	-11.4	0.8	2	seeg	right
STPIN9	59.5	-12.3	2.1	2	seeg	right
STPIN10	62.6	-13.1	3.5	2	seeg	right
RPSTG1	44.3	-28.6	14.1	2	seeg	right
RPSTG2	47.5	-29.2	13.3	2	seeg	right
RPSTG3	50.8	-29.8	12.5	2	seeg	right
RPSTG4	54.1	-30.4	11.7	2	seeg	right
RPSTG5	57.3	-31	10.9	2	seeg	right
RPSTG6	60.6	-31.7	10.1	2	seeg	right
RPMTG1	20.3	-43.5	-10.7	2	seeg	right
RPMTG2	23.7	-43.7	-10.2	2	seeg	right
RPMTG3	27.1	-43.8	-9.6	2	seeg	right
RPMTG4	30.5	-44	-9	2	seeg	right
RPMTG5	33.9	-44.1	-8.5	2	seeg	right
RPMTG6	37.3	-44.3	-7.9	2	seeg	right
RPMTG7	40.6	-44.5	-7.4	2	seeg	right
RPMTG8	44	-44.6	-6.9	2	seeg	right
RPMTG9	47.4	-44.8	-6.3	2	seeg	right
RPMTG10	50.8	-44.9	-5.7	2	seeg	right
RPMTG11	54.2	-45.1	-5.2	2	seeg	right
RPMTG12	57.6	-45.2	-4.6	2	seeg	right
RPIN1	35.6	0	-13.1	2	seeg	right
RPIN2	34.9	-3.2	-7.3	2	seeg	right
RPIN3	34.1	-6.5	-1.5	2	seeg	right
RPIN4	33.4	-9.8	4.1	2	seeg	right
RPIN5	32.6	-13	9.5	2	seeg	right
RPIN6	31.9	-16.3	15	2	seeg	right
RPIN7	31.1	-19.5	20.5	2	seeg	right
RPIN8	30.3	-22.8	25.9	2	seeg	right
RPIN9	29.6	-26.7	31.4	2	seeg	right
RPIN10	28.8	-30.5	36.9	2	seeg	right
RPIN11	28.1	-34.4	42.3	2	seeg	right
RPIN12	27.3	-38.3	47.8	2	seeg	right
RPIN13	26.6	-42.2	53.3	2	seeg	right
RPIN14	25.8	-46.1	58.7	2	seeg	right
RPIN15	25.1	-50	64.2	2	seeg	right
RPIN16	24.3	-53.9	69.7	2	seeg	right
