name	x	y	z	size	group	hemisphere
LA1	-19	-6.5	-15	2	seeg	left
LA2	-23.8	-6.7	-15	2	seeg	left
LA3	-28.7	-6.9	-15	2	seeg	left
LA4	-33.5	-7.1	-15	2	seeg	left
LA5	-38.3	-7.3	-15.1	2	seeg	left
LA6	-43.1	-7.5	-15.1	2	seeg	left
LA7	-47.9	-7.6	-15.1	2	seeg	left
LA8	-52.7	-7.8	-15.1	2	seeg	left
LA9	-57.5	-8	-15.1	2	seeg	left
LA10	-62.3	-8.2	-15.1	2	seeg	left
LAH2	-22.7	-12.2	-10.9	2	seeg	left
LAH3	-28	-12	-10.5	2	seeg	left
LAH4	-33.3	-11.8	-10.1	2	seeg	left
LAH5	-38.6	-11.6	-9.8	2	seeg	left
LAH6	-43.9	-11.4	-9.4	2	seeg	left
LAH7	-49.2	-11.2	-9	2	seeg	left
LAH8	-54.5	-11	-8.6	2	seeg	left
LAH9	-59.8	-10.8	-8.2	2	seeg	left
LAH10	-65.1	-10.6	-7.8	2	seeg	left
LAH1	-20.1	-12.2	-11.3	2	seeg	left
LPH1	-30.5	-26.8	-7	2	seeg	left
LPH2	-35.2	-26.4	-7.5	2	seeg	left
LPH3	-39.9	-26.1	-8	2	seeg	left
LPH4	-44.5	-25.7	-8.5	2	seeg	left
LPH5	-49.2	-25.4	-9	2	seeg	left
LPH6	-53.9	-25	-9.5	2	seeg	left
LPH7	-58.6	-24.7	-10	2	seeg	left
LPH8	-63.3	-24.3	-10.5	2	seeg	left
LPH9	-68	-24	-11	2	seeg	left
LPH10	-72.7	-23.6	-11.5	2	seeg	left
LTP2	-33.4	14.5	-28.8	2	seeg	left
LTP3	-37.4	12.5	-28.7	2	seeg	left
LTP4	-41.4	10.4	-28.7	2	seeg	left
LTP5	-45.4	8.4	-28.7	2	seeg	left
LTP6	-49.5	6.3	-28.6	2	seeg	left
LTP7	-53.5	4.3	-28.6	2	seeg	left
LTP8	-57.5	2.2	-28.6	2	seeg	left
LTP1	-30.7	15.9	-29	2	seeg	left
LAOF1	-7.4	56.9	-12.3	2	seeg	left
LAOF2	-12.1	54.2	-8.1	2	seeg	left
LAOF3	-16.7	51.5	-3.8	2	seeg	left
LAOF4	-21.3	48.8	0.4	2	seeg	left
LAOF5	-26	46.1	5.1	2	seeg	left
LAOF6	-30.6	43.4	9.8	2	seeg	left
LAOF7	-35.2	40.6	14.5	2	seeg	left
LAOF8	-39.9	37.9	19.1	2	seeg	left
LAOF9	-44.5	35.2	23.8	2	seeg	left
LAOF10	-49.1	32.5	28.5	2	seeg	left
LPOF1	-7.6	20.9	-15	2	seeg	left
LPOF2	-11.9	21.2	-9	2	seeg	left
LPOF3	-16.1	21.5	-3	2	seeg	left
LPOF4	-20.3	21.7	3.3	2	seeg	left
LPOF5	-24.5	22	9.9	2	seeg	left
LPOF6	-28.7	22.3	16.5	2	seeg	left
LPOF7	-32.9	22.6	23.1	2	seeg	left
LPOF8	-37.1	22.9	29.8	2	seeg	left
LPOF9	-41.4	23.2	36.4	2	seeg	left
LPOF10	-45.6	23.5	43	2	seeg	left
RA1	22	-1.7	-17.9	2	seeg	right
RA2	25.8	-1.5	-18.6	2	seeg	right
RA3	29.6	-1.4	-19.3	2	seeg	right
RA4	33.4	-1.2	-20	2	seeg	right
RA5	37.3	-1.1	-20.8	2	seeg	right
RA6	41.1	-0.9	-21.5	2	seeg	right
RA7	44.9	-0.8	-22.2	2	seeg	right
RA8	48.7	-0.6	-22.9	2	seeg	right
RA9	52.6	-0.5	-23.6	2	seeg	right
RA10	56.4	-0.3	-24.3	2	seeg	right
RAH1	24.7	-9.6	-13.6	2	seeg	right
RAH2	29.4	-9.6	-13.3	2	seeg	right
RAH3	34.2	-9.7	-13	2	seeg	right
RAH4	39	-9.7	-12.8	2	seeg	right
RAH5	43.7	-9.7	-12.5	2	seeg	right
RAH6	48.5	-9.8	-12.2	2	seeg	right
RAH7	53.3	-9.8	-11.9	2	seeg	right
RAH8	58	-9.8	-11.6	2	seeg	right
RAH9	62.8	-9.9	-11.3	2	seeg	right
RAH10	67.6	-9.9	-11	2	seeg	right
RPH1	28.4	-18.5	-13.6	2	seeg	right
RPH2	32.2	-19.2	-13.6	2	seeg	right
RPH3	36	-19.9	-13.5	2	seeg	right
RPH4	39.8	-20.6	-13.5	2	seeg	right
RPH5	43.6	-21.3	-13.5	2	seeg	right
RPH6	47.4	-22	-13.5	2	seeg	right
RPH7	51.2	-22.7	-13.5	2	seeg	right
RPH8	55	-23.6	-13.5	2	seeg	right
RPH9	58.8	-24.5	-13.5	2	seeg	right
RPH10	62.6	-25.4	-13.5	2	seeg	right
RTP2	27.9	19.4	-31	2	seeg	right
RTP3	32.8	18	-29.3	2	seeg	right
RTP4	37.8	16.7	-27.6	2	seeg	right
RTP5	42.7	15.3	-26	2	seeg	right
RTP6	47.6	13.9	-24.3	2	seeg	right
RTP7	52.5	12.6	-22.6	2	seeg	right
RTP8	57.5	11.2	-21	2	seeg	right
RTP9	62.4	9.9	-19.3	2	seeg	right
RTP10	67.3	8.5	-17.7	2	seeg	right
RTP1	25.7	19.9	-31.6	2	seeg	right
RTB1	22.8	-5.4	-24	2	seeg	right
RTB2	27.3	-5.5	-22.5	2	seeg	right
RTB3	31.7	-5.6	-20.9	2	seeg	right
RTB4	36.2	-5.7	-19.3	2	seeg	right
RTB5	40.6	-5.7	-17.7	2	seeg	right
RTB6	45.1	-5.8	-16.1	2	seeg	right
RTB7	49.5	-5.9	-14.5	2	seeg	right
RTB8	54	-6	-12.9	2	seeg	right
RAOF1	3.9	38.7	-13	2	seeg	right
RAOF2	9.1	37.5	-8.3	2	seeg	right
RAOF3	14.9	35.6	-3	2	seeg	right
RAOF4	20.2	33.9	1.7	2	seeg	right
RAOF5	25.7	32	8.1	2	seeg	right
RAOF6	31.2	29.8	13.4	2	seeg	right
RAOF7	36.6	28.9	16.8	2	seeg	right
RAOF8	42.3	27.5	22.7	2	seeg	right
RAOF9	48	26.8	28	2	seeg	right
RAOF10	53.9	25.9	34	2	seeg	right
RPOF1	4.9	17.7	-14.9	2	seeg	right
RPOF2	9	14.9	-9.2	2	seeg	right
RPOF3	13.1	12.1	-3.5	2	seeg	right
RPOF4	17.1	9.3	2.4	2	seeg	right
RPOF5	21.2	6.5	8.7	2	seeg	right
RPOF6	25.2	3.8	15	2	seeg	right
RPOF7	29.3	1	21.3	2	seeg	right
RPOF8	33.3	-1.4	27.6	2	seeg	right
RPOF9	37.4	-3.4	33.9	2	seeg	right
RPOF10	41.5	-5.5	40.2	2	seeg	right
RAC1	7.2	32.3	18.2	2	seeg	right
RAC2	12.7	31.4	17.1	2	seeg	right
RAC3	18.2	30.4	15.9	2	seeg	right
RAC4	23.8	29.5	14.7	2	seeg	right
RAC5	29.3	28.5	13.6	2	seeg	right
RAC6	34.8	27.6	12.4	2	seeg	right
RAC7	40.3	26.6	11.3	2	seeg	right
RAC8	45.8	25.7	10.1	2	seeg	right
RAC9	51.4	24.7	8.9	2	seeg	right
RAC10	56.9	23.8	7.8	2	seeg	right
RPC1	6.3	-14.1	36.5	2	seeg	right
RPC2	11.3	-17.8	35	2	seeg	right
RPC3	16.2	-21.6	33.5	2	seeg	right
RPC4	21.1	-26	32	2	seeg	right
RPC5	26	-30.9	30.6	2	seeg	right
RPC6	31	-35.9	29.1	2	seeg	right
RPC7	35.9	-40.8	27.6	2	seeg	right
RPC8	40.8	-45.7	26.2	2	seeg	right
RPC9	45.8	-50.6	24.7	2	seeg	right
RPC10	50.7	-55.6	23.2	2	seeg	right
RSTG1	36.5	-25.8	10.9	2	seeg	right
RSTG2	39.3	-26.2	11.4	2	seeg	right
RSTG3	42.1	-26.7	12	2	seeg	right
RSTG4	44.9	-27.2	12.5	2	seeg	right
RSTG5	47.7	-27.7	13	2	seeg	right
RSTG6	50.5	-28.1	13.5	2	seeg	right
RSTG7	53.3	-28.6	14	2	seeg	right
RSTG8	56.1	-29.1	14.6	2	seeg	right
RSTG9	58.9	-29.6	15.1	2	seeg	right
RSTG10	61.6	-30	15.6	2	seeg	right
