name	x	y	z	size	group	hemisphere
LA1	-16.3	-2.7	-13.5	2	seeg	left
LA2	-21.2	-2.6	-14.3	2	seeg	left
LA3	-26.1	-2.5	-15.2	2	seeg	left
LA4	-31	-2.4	-16	2	seeg	left
LA5	-35.9	-2.3	-16.9	2	seeg	left
LA6	-40.8	-2.2	-17.7	2	seeg	left
LA7	-45.6	-2.1	-18.6	2	seeg	left
LA8	-50.5	-1.9	-19.4	2	seeg	left
LA9	-55.4	-1.8	-20.3	2	seeg	left
LA10	-60.3	-1.7	-21.1	2	seeg	left
LAH1	-18.9	-8.1	-15	2	seeg	left
LAH2	-24	-8.5	-15.1	2	seeg	left
LAH3	-29	-8.8	-15.2	2	seeg	left
LAH4	-34	-9.1	-15.3	2	seeg	left
LAH5	-39	-9.5	-15.4	2	seeg	left
LAH6	-44.1	-9.8	-15.5	2	seeg	left
LAH7	-49.1	-10.2	-15.6	2	seeg	left
LAH8	-54.1	-10.5	-15.7	2	seeg	left
LAH9	-59.1	-10.8	-15.9	2	seeg	left
LAH10	-64.2	-11.2	-16	2	seeg	left
LPH1	-20.8	-17.1	-14.9	2	seeg	left
LPH2	-25.5	-18	-14.1	2	seeg	left
LPH3	-30.3	-18.9	-13.2	2	seeg	left
LPH4	-35	-19.8	-12.4	2	seeg	left
LPH5	-39.8	-20.7	-11.5	2	seeg	left
LPH6	-44.5	-21.6	-10.6	2	seeg	left
LPH7	-49.3	-22.5	-9.8	2	seeg	left
LPH8	-54	-23.5	-8.9	2	seeg	left
LPH9	-58.8	-24.6	-8.1	2	seeg	left
LPH10	-63.5	-25.6	-7.2	2	seeg	left
LTP1	-30.2	18.6	-27.7	2	seeg	left
LTP2	-32.8	18.5	-26.1	2	seeg	left
LTP3	-35.4	18.4	-24.6	2	seeg	left
LTP4	-38	18.3	-23	2	seeg	left
LTP5	-40.6	18.2	-21.5	2	seeg	left
LTP6	-43.3	18.1	-19.9	2	seeg	left
LTP7	-45.9	17.9	-18.4	2	seeg	left
LTP8	-48.5	17.8	-16.8	2	seeg	left
LTP9	-51.1	17.7	-15.3	2	seeg	left
LTP10	-53.7	17.6	-13.7	2	seeg	left
LBT1	-31.6	9.9	-31.5	2	seeg	left
LBT2	-33	5.1	-29.9	2	seeg	left
LBT3	-34.3	0.3	-28.2	2	seeg	left
LBT4	-35.6	-3.7	-26.6	2	seeg	left
LBT5	-37	-7.5	-24.9	2	seeg	left
LBT6	-38.3	-11.4	-23.3	2	seeg	left
LBT7	-39.6	-15.3	-21.6	2	seeg	left
LBT8	-41	-19.2	-20	2	seeg	left
LBT9	-42.3	-23.1	-18.4	2	seeg	left
LBT10	-43.7	-27.6	-16.7	2	seeg	left
LBT11	-45	-32.1	-15	2	seeg	left
LBT12	-46.3	-36.5	-13.4	2	seeg	left
LBT13	-47.7	-41	-11.8	2	seeg	left
LBT14	-49	-45.5	-10.1	2	seeg	left
LBT15	-50.3	-50	-8.5	2	seeg	left
LBT16	-51.7	-54.5	-6.8	2	seeg	left
LAOF1	-11.2	51.8	-10.5	2	seeg	left
LAOF2	-15.7	49.9	-9	2	seeg	left
LAOF3	-20.2	48.1	-7.6	2	seeg	left
LAOF4	-24.7	46.3	-6.2	2	seeg	left
LAOF5	-29.2	44.5	-4.8	2	seeg	left
LAOF6	-33.7	42.6	-3.4	2	seeg	left
LAOF7	-38.1	40.8	-1.9	2	seeg	left
LAOF8	-42.6	39	-0.5	2	seeg	left
LAOF9	-47.1	37.1	1	2	seeg	left
LAOF10	-51.6	35.3	2.5	2	seeg	left
LPOF1	-13.5	27.4	-14.3	2	seeg	left
LPOF2	-16.7	25.1	-11	2	seeg	left
LPOF3	-19.8	22.7	-7.7	2	seeg	left
LPOF4	-23	20.4	-4.5	2	seeg	left
LPOF5	-26.1	18.1	-1.2	2	seeg	left
LPOF6	-29.2	15.8	2.2	2	seeg	left
LPOF7	-32.4	13.4	5.6	2	seeg	left
LPOF8	-35.5	11.1	9.1	2	seeg	left
LPOF9	-38.7	8.8	12.5	2	seeg	left
LPOF10	-41.8	6.4	15.9	2	seeg	left
LPOF11	-45	4.1	19.4	2	seeg	left
LPOF12	-48.1	1.8	22.8	2	seeg	left
LPOF13	-51.3	-0.4	26.2	2	seeg	left
LPOF14	-54.4	-2.3	29.7	2	seeg	left
LPOF15	-57.5	-4.2	33.1	2	seeg	left
LPOF16	-60.7	-6.1	36.5	2	seeg	left
LSMA1	-7.2	34.6	21.3	2	seeg	left
LSMA2	-9.1	31.9	25.3	2	seeg	left
LSMA3	-10.9	29.3	29.2	2	seeg	left
LSMA4	-12.7	26.7	33.2	2	seeg	left
LSMA5	-14.5	24	37.2	2	seeg	left
LSMA6	-16.3	21.4	41.1	2	seeg	left
LSMA7	-18.1	18.7	45.1	2	seeg	left
LSMA8	-19.9	16.1	49.1	2	seeg	left
LSMA9	-21.7	13.4	53	2	seeg	left
LSMA10	-23.5	10.8	57	2	seeg	left
LAC1	-3.5	13.6	28.5	2	seeg	left
LAC2	-8	13.8	30.8	2	seeg	left
LAC3	-12.4	13.9	33.1	2	seeg	left
LAC4	-16.9	14.1	35.4	2	seeg	left
LAC5	-21.4	14.2	37.7	2	seeg	left
LAC6	-25.9	14.4	40	2	seeg	left
LAC7	-30.3	14.6	42.3	2	seeg	left
LAC8	-34.8	14.7	44.6	2	seeg	left
LAC9	-39.3	14.9	46.9	2	seeg	left
LAC10	-43.8	15	49.2	2	seeg	left
LMC1	-4.8	-8.8	30.5	2	seeg	left
LMC2	-8.2	-9.1	34.1	2	seeg	left
LMC3	-11.6	-9.3	37.8	2	seeg	left
LMC4	-15.1	-9.5	41.4	2	seeg	left
LMC5	-18.5	-9.7	45.1	2	seeg	left
LMC6	-22	-10	48.8	2	seeg	left
LMC7	-25.4	-10.2	52.4	2	seeg	left
LMC8	-28.9	-10.4	56.1	2	seeg	left
LMC9	-32.3	-10.6	59.7	2	seeg	left
LMC10	-35.7	-10.9	63.4	2	seeg	left
LPC1	-4.8	-31	28.7	2	seeg	left
LPC2	-6	-33.7	32.7	2	seeg	left
LPC3	-7.1	-36.4	36.7	2	seeg	left
LPC4	-8.3	-39.1	40.7	2	seeg	left
LPC5	-9.4	-41.8	44.8	2	seeg	left
LPC6	-10.6	-44.6	48.8	2	seeg	left
LPC7	-11.7	-47.3	52.8	2	seeg	left
LPC8	-12.9	-50	56.8	2	seeg	left
LPC9	-14	-52.7	60.8	2	seeg	left
LPC10	-15.2	-55.4	64.8	2	seeg	left
