name	x	y	z	size	group	hemisphere
LA1	-14.8	-4	-11.4	2	seeg	left
LA2	-17.9	-4	-11.6	2	seeg	left
LA3	-20.9	-3.9	-11.8	2	seeg	left
LA4	-23.9	-3.8	-12.1	2	seeg	left
LA5	-26.9	-3.8	-12.3	2	seeg	left
LA6	-30	-3.7	-12.5	2	seeg	left
LA7	-33	-3.6	-12.7	2	seeg	left
LA8	-36	-3.6	-13	2	seeg	left
LA9	-39.1	-3.5	-13.2	2	seeg	left
LA10	-42.1	-3.4	-13.4	2	seeg	left
LA11	-45.1	-3.3	-13.7	2	seeg	left
LA12	-48.1	-3.3	-13.9	2	seeg	left
LA13	-51.2	-3.2	-14.1	2	seeg	left
LA14	-54.2	-3.1	-14.3	2	seeg	left
LA15	-57.2	-3.1	-14.6	2	seeg	left
LA16	-60.2	-3	-14.8	2	seeg	left
LAH1	-17.7	-12	-11.5	2	seeg	left
LAH2	-21.2	-12.1	-11.6	2	seeg	left
LAH3	-24.8	-12.3	-11.6	2	seeg	left
LAH4	-28.3	-12.5	-11.6	2	seeg	left
LAH5	-31.8	-12.6	-11.6	2	seeg	left
LAH6	-35.4	-12.8	-11.7	2	seeg	left
LAH7	-38.9	-12.9	-11.7	2	seeg	left
LAH8	-42.4	-13.1	-11.7	2	seeg	left
LAH9	-46	-13.2	-11.7	2	seeg	left
LAH10	-49.5	-13.4	-11.7	2	seeg	left
LAH11	-53	-13.5	-11.8	2	seeg	left
LAH12	-56.6	-13.7	-11.8	2	seeg	left
LAH13	-60.1	-13.8	-11.8	2	seeg	left
LAH14	-63.6	-14	-11.8	2	seeg	left
LPH1	-25.7	-20.5	-11.2	2	seeg	left
LPH2	-28.8	-21.1	-10.9	2	seeg	left
LPH3	-31.9	-21.8	-10.6	2	seeg	left
LPH4	-35	-22.4	-10.4	2	seeg	left
LPH5	-38.1	-23	-10.1	2	seeg	left
LPH6	-41.2	-23.8	-9.9	2	seeg	left
LPH7	-44.4	-24.7	-9.6	2	seeg	left
LPH8	-47.5	-25.5	-9.4	2	seeg	left
LPH9	-50.6	-26.3	-9.1	2	seeg	left
LPH10	-53.7	-27.1	-8.8	2	seeg	left
LPH11	-56.8	-27.9	-8.6	2	seeg	left
LPH12	-59.9	-28.7	-8.3	2	seeg	left
LPH13	-63	-29.6	-8.1	2	seeg	left
LPH14	-66.1	-30.4	-7.8	2	seeg	left
RA1	17.2	-2.8	-14.3	2	seeg	right
RA2	20.2	-2.6	-14.9	2	seeg	right
RA3	23.1	-2.5	-15.5	2	seeg	right
RA4	26.1	-2.3	-16.1	2	seeg	right
RA5	29	-2.2	-16.7	2	seeg	right
RA6	32	-2	-17.2	2	seeg	right
RA7	34.9	-1.9	-17.8	2	seeg	right
RA8	37.9	-1.7	-18.4	2	seeg	right
RA9	40.8	-1.5	-19	2	seeg	right
RA10	43.8	-1.4	-19.6	2	seeg	right
RA11	46.7	-1.2	-20.2	2	seeg	right
RA12	49.7	-1.1	-20.8	2	seeg	right
RA13	52.6	-0.9	-21.4	2	seeg	right
RA14	55.6	-0.8	-22	2	seeg	right
RAH1	18.5	-8.7	-16.8	2	seeg	right
RAH2	21.8	-8.5	-16.8	2	seeg	right
RAH3	25	-8.4	-16.8	2	seeg	right
RAH4	28.3	-8.2	-16.9	2	seeg	right
RAH5	31.5	-8	-16.9	2	seeg	right
RAH6	34.8	-7.8	-16.9	2	seeg	right
RAH7	38	-7.7	-16.9	2	seeg	right
RAH8	41.3	-7.5	-17	2	seeg	right
RAH9	44.6	-7.3	-17	2	seeg	right
RAH10	47.8	-7.1	-17	2	seeg	right
RAH11	51.1	-7	-17.1	2	seeg	right
RAH12	54.3	-6.8	-17.1	2	seeg	right
RAH13	57.6	-6.6	-17.1	2	seeg	right
RAH14	60.8	-6.4	-17.2	2	seeg	right
RPH1	22.6	-15.4	-10.3	2	seeg	right
RPH2	25.9	-15.6	-10.4	2	seeg	right
RPH3	29.1	-15.7	-10.6	2	seeg	right
RPH4	32.4	-15.9	-10.8	2	seeg	right
RPH5	35.6	-16.1	-11	2	seeg	right
RPH6	38.9	-16.3	-11.1	2	seeg	right
RPH7	42.2	-16.5	-11.3	2	seeg	right
RPH8	45.4	-16.6	-11.5	2	seeg	right
RPH9	48.7	-16.8	-11.7	2	seeg	right
RPH10	51.9	-17	-11.8	2	seeg	right
RPH11	55.2	-17.2	-12	2	seeg	right
RPH12	58.5	-17.4	-12.2	2	seeg	right
RPH13	61.7	-17.5	-12.4	2	seeg	right
RPH14	65	-17.7	-12.5	2	seeg	right
RITP1	19.1	6.5	-25.7	2	seeg	right
RITP2	22.3	5.6	-25.7	2	seeg	right
RITP3	25.5	4.6	-25.7	2	seeg	right
RITP4	28.6	3.6	-25.7	2	seeg	right
RITP5	31.8	2.6	-25.7	2	seeg	right
RITP6	34.9	1.6	-25.7	2	seeg	right
RITP7	38.1	0.6	-25.7	2	seeg	right
RITP8	41.3	-0.3	-25.7	2	seeg	right
RITP9	44.4	-1	-25.7	2	seeg	right
RITP10	47.6	-1.8	-25.7	2	seeg	right
RITP11	50.8	-2.6	-25.7	2	seeg	right
RITP12	53.9	-3.3	-25.7	2	seeg	right
RSTP1	31.9	7.5	-22.6	2	seeg	right
RSTP2	34.8	7.7	-22.2	2	seeg	right
RSTP3	37.7	7.9	-21.8	2	seeg	right
RSTP4	40.7	8.1	-21.5	2	seeg	right
RSTP5	43.6	8.4	-21.1	2	seeg	right
RSTP6	46.5	8.6	-20.7	2	seeg	right
RSTP7	49.5	8.9	-20.4	2	seeg	right
RSTP8	52.4	9.1	-20	2	seeg	right
RPT1	34.9	-23.5	7.5	2	seeg	right
RPT2	38.3	-23.7	7.9	2	seeg	right
RPT3	41.7	-24	8.3	2	seeg	right
RPT4	45.1	-24.2	8.6	2	seeg	right
RPT5	48.5	-24.5	9	2	seeg	right
RPT6	51.9	-24.7	9.4	2	seeg	right
RPT7	55.3	-25	9.7	2	seeg	right
RPT8	58.8	-25.2	10.1	2	seeg	right
RPT9	62.2	-25.5	10.5	2	seeg	right
RPT10	65.6	-25.7	10.8	2	seeg	right
RBT1	23.7	12.2	-36.1	2	seeg	right
RBT2	24.6	8.4	-34.6	2	seeg	right
RBT3	25.5	4.6	-33	2	seeg	right
RBT4	26.4	0.7	-31.4	2	seeg	right
RBT5	27.4	-2.4	-29.9	2	seeg	right
RBT6	28.3	-5.4	-28.3	2	seeg	right
RBT7	29.2	-8.4	-26.8	2	seeg	right
RBT8	30.1	-11.4	-25.2	2	seeg	right
RBT9	31.1	-14.3	-23.6	2	seeg	right
RBT10	32	-17.3	-22.1	2	seeg	right
RBT11	32.9	-20.3	-20.5	2	seeg	right
RBT12	33.9	-23.4	-18.9	2	seeg	right
RBT13	34.8	-27.2	-17.4	2	seeg	right
RBT14	35.7	-31.1	-15.8	2	seeg	right
RBT15	36.6	-34.9	-14.2	2	seeg	right
RBT16	37.6	-38.7	-12.7	2	seeg	right
RAOF1	5.1	47.9	-4.9	2	seeg	right
RAOF2	8.2	47	-4.3	2	seeg	right
RAOF3	11.4	46.1	-3.8	2	seeg	right
RAOF4	14.5	45.3	-3.2	2	seeg	right
RAOF5	17.6	44.4	-2.7	2	seeg	right
RAOF6	20.7	43.5	-2.1	2	seeg	right
RAOF7	23.8	42.6	-1.6	2	seeg	right
RAOF8	26.9	41.7	-1	2	seeg	right
RAOF9	30	40.8	-0.4	2	seeg	right
RAOF10	33.1	39.9	0.1	2	seeg	right
RAOF11	36.2	39.1	0.6	2	seeg	right
RAOF12	39.4	38.2	1.1	2	seeg	right
RAOF13	42.5	37.3	1.6	2	seeg	right
RAOF14	45.6	36.4	2.2	2	seeg	right
RAOF15	48.7	35.5	2.7	2	seeg	right
RAOF16	51.8	34.6	3.2	2	seeg	right
RPOF1	2.5	29.7	-12.5	2	seeg	right
RPOF2	5.5	28.9	-9.3	2	seeg	right
RPOF3	8.4	28	-6.1	2	seeg	right
RPOF4	11.4	27.3	-3	2	seeg	right
RPOF5	14.3	26.4	0.2	2	seeg	right
RPOF6	17.3	25.6	3.2	2	seeg	right
RPOF7	20.3	24.8	6.2	2	seeg	right
RPOF8	23.2	24	9.2	2	seeg	right
RPOF9	26.2	23.2	12.2	2	seeg	right
RPOF10	29.1	22.4	15.2	2	seeg	right
RPOF11	32.1	21.6	18.1	2	seeg	right
RPOF12	35.1	20.8	21.1	2	seeg	right
RPOF13	38	20	24.1	2	seeg	right
RPOF14	41	19.2	27.1	2	seeg	right
RPOF15	43.9	18.4	30.1	2	seeg	right
RPOF16	46.9	17.6	33.1	2	seeg	right
RAC1	6.2	23.9	22.4	2	seeg	right
RAC2	9.1	24.5	23.5	2	seeg	right
RAC3	12.1	25.1	24.6	2	seeg	right
RAC4	15	25.7	25.8	2	seeg	right
RAC5	17.9	26.3	26.9	2	seeg	right
RAC6	20.9	26.9	28	2	seeg	right
RAC7	23.8	27.5	29.1	2	seeg	right
RAC8	26.7	28.1	30.3	2	seeg	right
RAC9	29.7	28.7	31.4	2	seeg	right
RAC10	32.6	29.2	32.5	2	seeg	right
RAC11	35.5	29.8	33.6	2	seeg	right
RAC12	38.5	30.4	34.7	2	seeg	right
RMC1	7.2	-4	28.8	2	seeg	right
RMC2	9.8	-3.8	31.3	2	seeg	right
RMC3	12.3	-3.7	33.8	2	seeg	right
RMC4	14.8	-3.5	36.3	2	seeg	right
RMC5	17.3	-3.4	38.8	2	seeg	right
RMC6	19.9	-3.2	41.3	2	seeg	right
RMC7	22.4	-3.1	43.8	2	seeg	right
RMC8	24.9	-2.9	46.3	2	seeg	right
RMC9	27.4	-2.8	48.8	2	seeg	right
RMC10	30	-2.6	51.3	2	seeg	right
RMC11	32.5	-2.5	53.8	2	seeg	right
RMC12	35	-2.3	56.3	2	seeg	right
RPC1	8.8	-38.4	23.8	2	seeg	right
RPC2	9.4	-41.1	26.5	2	seeg	right
RPC3	10.1	-43.7	29.1	2	seeg	right
RPC4	10.7	-46.4	31.7	2	seeg	right
RPC5	11.4	-49.1	34.3	2	seeg	right
RPC6	12	-51.7	37	2	seeg	right
RPC7	12.7	-54.4	39.6	2	seeg	right
RPC8	13.3	-57	42.2	2	seeg	right
RPC9	14	-59.7	44.8	3	seeg	right
RPC10	14.6	-62.3	47.5	4	seeg	right
RPC11	15.3	-65	50.1	5	seeg	right
RPC12	15.9	-67.6	52.7	6	seeg	right
RPC13	16.6	-70.3	55.3	7	seeg	right
RPC14	17.2	-73	58	8	seeg	right
RSTG1	4.7	-52.3	22	9	seeg	right
