name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
PHG1-PHG2	SEEG	uv	0	300	seeg	2048
PHG2-PHG3	SEEG	uv	0	300	seeg	2048
PHG3-PHG4	SEEG	uv	0	300	seeg	2048
PHG4-PHG5	SEEG	uv	0	300	seeg	2048
PHG5-PHG6	SEEG	uv	0	300	seeg	2048
PHG6-PHG5	SEEG	uv	0	300	seeg	2048
OFS1-OFS2	SEEG	uv	0	300	seeg	2048
OFS2-OFS3	SEEG	uv	0	300	seeg	2048
OFS3-OFS4	SEEG	uv	0	300	seeg	2048
OFS4-OFS5	SEEG	uv	0	300	seeg	2048
OFS5-OFS6	SEEG	uv	0	300	seeg	2048
OFS6-OFS5	SEEG	uv	0	300	seeg	2048
STG1-STG2	SEEG	uv	0	300	seeg	2048
STG2-STG3	SEEG	uv	0	300	seeg	2048
STG3-STG4	SEEG	uv	0	300	seeg	2048
STG4-STG5	SEEG	uv	0	300	seeg	2048
STG5-STG6	SEEG	uv	0	300	seeg	2048
STG6-STG5	SEEG	uv	0	300	seeg	2048
SG1-SG2	SEEG	uv	0	300	seeg	2048
SG2-SG3	SEEG	uv	0	300	seeg	2048
SG3-SG4	SEEG	uv	0	300	seeg	2048
SG4-SG5	SEEG	uv	0	300	seeg	2048
SG5-SG6	SEEG	uv	0	300	seeg	2048
SG6-SG7	SEEG	uv	0	300	seeg	2048
SG7-SG8	SEEG	uv	0	300	seeg	2048
SG8-SG9	SEEG	uv	0	300	seeg	2048
SG9-SG10	SEEG	uv	0	300	seeg	2048
SG10-SG11	SEEG	uv	0	300	seeg	2048
SG11-SG12	SEEG	uv	0	300	seeg	2048
SG12-SG13	SEEG	uv	0	300	seeg	2048
SG13-SG14	SEEG	uv	0	300	seeg	2048
SG14-SG15	SEEG	uv	0	300	seeg	2048
SG15-SG16	SEEG	uv	0	300	seeg	2048
SG16-SG17	SEEG	uv	0	300	seeg	2048
SG17-SG18	SEEG	uv	0	300	seeg	2048
SG18-SG19	SEEG	uv	0	300	seeg	2048
SG19-SG20	SEEG	uv	0	300	seeg	2048
SG20-SG21	SEEG	uv	0	300	seeg	2048
SG21-SG22	SEEG	uv	0	300	seeg	2048
SG22-SG23	SEEG	uv	0	300	seeg	2048
SG23-SG24	SEEG	uv	0	300	seeg	2048
SG24-SG25	SEEG	uv	0	300	seeg	2048
SG25-SG26	SEEG	uv	0	300	seeg	2048
SG26-SG27	SEEG	uv	0	300	seeg	2048
SG27-SG28	SEEG	uv	0	300	seeg	2048
SG28-SG29	SEEG	uv	0	300	seeg	2048
SG29-SG30	SEEG	uv	0	300	seeg	2048
SG30-SG31	SEEG	uv	0	300	seeg	2048
SG31-SG32	SEEG	uv	0	300	seeg	2048
SG32-SG33	SEEG	uv	0	300	seeg	2048
SG33-SG34	SEEG	uv	0	300	seeg	2048
SG34-SG35	SEEG	uv	0	300	seeg	2048
SG35-SG34	SEEG	uv	0	300	seeg	2048
ASTS1-ASTS2	SEEG	uv	0	300	seeg	2048
ASTS2-ASTS3	SEEG	uv	0	300	seeg	2048
ASTS3-ASTS4	SEEG	uv	0	300	seeg	2048
ASTS4-ASTS3	SEEG	uv	0	300	seeg	2048
PSTS1-PSTS2	SEEG	uv	0	300	seeg	2048
PSTS2-PSTS3	SEEG	uv	0	300	seeg	2048
PSTS3-PSTS4	SEEG	uv	0	300	seeg	2048
PSTS4-PSTS3	SEEG	uv	0	300	seeg	2048
