name	x	y	z	size	group	hemisphere
RA1	18.3	1.1	-16.4	2	seeg	right
RA2	22.8	1.2	-16.5	2	seeg	right
RA3	27.2	1.3	-16.6	2	seeg	right
RA4	31.6	1.4	-16.7	2	seeg	right
RA5	36	1.5	-16.8	2	seeg	right
RA6	40.4	1.6	-16.9	2	seeg	right
RA7	44.9	1.7	-17	2	seeg	right
RA8	49.3	1.8	-17.1	2	seeg	right
RA9	53.7	1.9	-17.2	2	seeg	right
RA10	58.1	2	-17.3	2	seeg	right
RAH1	21.8	-9.9	-11.4	2	seeg	right
RAH2	27.1	-9.8	-11.3	2	seeg	right
RAH3	32.3	-9.6	-11.3	2	seeg	right
RAH4	37.6	-9.5	-11.2	2	seeg	right
RAH5	42.9	-9.3	-11.2	2	seeg	right
RAH6	48.1	-9.1	-11.1	2	seeg	right
RAH7	53.4	-9	-11.1	2	seeg	right
RAH8	58.6	-8.8	-11	2	seeg	right
RAH9	63.9	-8.6	-11	2	seeg	right
RAH10	69.1	-8.5	-10.9	2	seeg	right
RPH1	30.8	-19.9	-7.4	2	seeg	right
RPH2	35.1	-20	-7.3	2	seeg	right
RPH3	39.5	-20.1	-7.2	2	seeg	right
RPH4	43.8	-20.2	-7.1	2	seeg	right
RPH5	48.2	-20.3	-7	2	seeg	right
RPH6	52.5	-20.4	-6.8	2	seeg	right
RPH7	56.9	-20.5	-6.7	2	seeg	right
RPH8	61.2	-20.6	-6.6	2	seeg	right
RPH9	65.6	-20.8	-6.5	2	seeg	right
RPH10	69.9	-20.9	-6.4	2	seeg	right
RTP1	26.9	17.1	-34.6	2	seeg	right
RTP2	30	16.6	-33.1	2	seeg	right
RTP3	33.2	16.1	-31.5	2	seeg	right
RTP4	36.4	15.6	-30	2	seeg	right
RTP5	39.6	15.1	-28.5	2	seeg	right
RTP6	42.8	14.6	-27	2	seeg	right
RTP7	46	14.1	-25.5	2	seeg	right
RTP8	49.2	13.6	-23.9	2	seeg	right
RTP9	52.4	13.1	-22.4	2	seeg	right
RTP10	55.6	12.6	-20.9	2	seeg	right
RSTG1	6.6	-19.7	4.8	2	seeg	right
RSTG2	13.4	-20.7	5.6	2	seeg	right
RSTG3	20.3	-21.6	6.3	2	seeg	right
RSTG4	27.2	-22.6	7	2	seeg	right
RSTG5	34.1	-23.8	7.8	2	seeg	right
RSTG6	40.9	-25.1	8.5	2	seeg	right
RSTG7	47.8	-26.4	9.2	2	seeg	right
RSTG8	54.7	-27.7	10	2	seeg	right
RSTG9	61.6	-29.1	10.7	2	seeg	right
RSTG10	68.4	-30.4	11.5	2	seeg	right
