name	x	y	z	size	group	hemisphere
LA1	-14.1	-2.3	-18.7	2	seeg	left
LA2	-17.7	-1.8	-18.4	2	seeg	left
LA3	-21.3	-1.4	-18.1	2	seeg	left
LA4	-25	-1	-17.9	2	seeg	left
LA5	-28.6	-0.6	-17.6	2	seeg	left
LA6	-32.2	-0.1	-17.3	2	seeg	left
LA7	-35.9	0.3	-17	2	seeg	left
LA8	-39.5	0.8	-16.7	2	seeg	left
LA9	-43.1	1.3	-16.4	2	seeg	left
LA10	-46.8	1.8	-16.1	2	seeg	left
LA11	-50.4	2.3	-15.9	2	seeg	left
LA12	-54	2.8	-15.6	2	seeg	left
LAH1	-28.8	-9.3	-18.7	2	seeg	left
LAH2	-32.4	-8.9	-18.6	2	seeg	left
LAH3	-36	-8.6	-18.4	2	seeg	left
LAH4	-39.6	-8.2	-18.3	2	seeg	left
LAH5	-43.3	-7.9	-18.2	2	seeg	left
LAH6	-46.9	-7.5	-18.1	2	seeg	left
LAH7	-50.5	-7.2	-18	2	seeg	left
LAH8	-54.1	-6.9	-17.8	2	seeg	left
LAH9	-57.7	-6.5	-17.7	2	seeg	left
LAH10	-61.3	-6.2	-17.6	2	seeg	left
LAH11	-64.9	-5.8	-17.5	2	seeg	left
LAH12	-68.5	-5.5	-17.3	2	seeg	left
LAH13	-72.1	-5.1	-17.2	2	seeg	left
LAH14	-75.7	-4.8	-17.1	2	seeg	left
LPH1	-16.2	-17.9	-15.2	2	seeg	left
LPH2	-19.9	-17.4	-14.9	2	seeg	left
LPH3	-23.5	-17	-14.7	2	seeg	left
LPH4	-27.1	-16.5	-14.5	2	seeg	left
LPH5	-30.8	-16	-14.2	2	seeg	left
LPH6	-34.4	-15.6	-14	2	seeg	left
LPH7	-38	-15.1	-13.8	2	seeg	left
LPH8	-41.7	-14.6	-13.6	2	seeg	left
LPH9	-45.3	-14.2	-13.3	2	seeg	left
LPH10	-49	-13.7	-13.1	2	seeg	left
LPH11	-52.6	-13.2	-12.9	2	seeg	left
LPH12	-56.2	-12.8	-12.6	2	seeg	left
LMAP1	-22.6	-15.1	28.8	2	seeg	left
LMAP2	-25.8	-14.4	30	2	seeg	left
LMAP3	-29	-13.7	31.3	2	seeg	left
LMAP4	-32.3	-13	32.5	2	seeg	left
LMAP5	-35.5	-12.3	33.8	2	seeg	left
LMAP6	-38.7	-11.7	35	2	seeg	left
LMAP7	-42	-11	36.2	2	seeg	left
LMAP8	-45.2	-10.3	37.5	2	seeg	left
RTP1	30.3	22.3	-24.8	2	seeg	right
RTP2	34	22.6	-24.5	2	seeg	right
RTP3	37.7	22.8	-24.2	2	seeg	right
RTP4	41.4	23.1	-23.9	2	seeg	right
RTP5	45.1	23.3	-23.6	2	seeg	right
RTP6	48.8	23.5	-23.3	2	seeg	right
RBT1	27.7	-5.2	-35.9	2	seeg	right
RBT2	31.4	-4.9	-35.5	2	seeg	right
RBT3	35.1	-4.7	-35.2	2	seeg	right
RBT4	38.8	-4.4	-34.9	2	seeg	right
RBT5	42.5	-4.2	-34.6	2	seeg	right
RBT6	46.2	-3.9	-34.2	2	seeg	right
RBT7	49.8	-3.7	-33.9	2	seeg	right
RBT8	53.5	-3.4	-33.6	2	seeg	right
RA1	14.1	2.3	-22.4	2	seeg	right
RA2	17.8	2.6	-22.2	2	seeg	right
RA3	21.4	2.8	-21.9	2	seeg	right
RA4	25.1	3	-21.6	2	seeg	right
RA5	28.8	3.3	-21.4	2	seeg	right
RA6	32.4	3.5	-21.1	2	seeg	right
RA7	36.1	3.7	-20.8	2	seeg	right
RA8	39.8	4	-20.6	2	seeg	right
RA9	43.4	4.2	-20.3	2	seeg	right
RA10	47.1	4.4	-20	2	seeg	right
RA11	50.8	4.6	-19.8	2	seeg	right
RA12	54.4	4.9	-19.5	2	seeg	right
RAH1	18.1	-9.7	-17.1	2	seeg	right
RAH2	21.7	-9.5	-17	2	seeg	right
RAH3	25.4	-9.2	-16.9	2	seeg	right
RAH4	29	-9	-16.8	2	seeg	right
RAH5	32.7	-8.7	-16.7	2	seeg	right
RAH6	36.3	-8.5	-16.7	2	seeg	right
RAH7	40	-8.2	-16.6	2	seeg	right
RAH8	43.6	-8	-16.5	2	seeg	right
RAH9	47.3	-7.7	-16.4	2	seeg	right
RAH10	50.9	-7.5	-16.3	2	seeg	right
RPH1	20.3	-18	-14.3	2	seeg	right
RPH2	24	-17.9	-13.9	2	seeg	right
RPH3	27.6	-17.7	-13.5	2	seeg	right
RPH4	31.2	-17.5	-13.1	2	seeg	right
RPH5	34.9	-17.3	-12.7	2	seeg	right
RPH6	38.5	-17.1	-12.2	2	seeg	right
RPH7	42.1	-16.9	-11.8	2	seeg	right
RPH8	45.7	-16.7	-11.4	2	seeg	right
RPH9	49.4	-16.5	-11	2	seeg	right
RPH10	53	-16.4	-10.5	2	seeg	right
RPH11	56.6	-16.2	-10.1	2	seeg	right
RPH12	60.3	-16	-9.7	2	seeg	right
RAC1	2.8	39.5	1.3	2	seeg	right
RAC2	6.3	39.7	2.4	2	seeg	right
RAC3	9.9	39.9	3.6	2	seeg	right
RAC4	13.4	40.1	4.7	2	seeg	right
RAC5	17	40.3	5.8	2	seeg	right
RAC6	20.5	40.5	6.9	2	seeg	right
RAC7	24.1	40.7	8	2	seeg	right
RAC8	27.6	40.9	9.1	2	seeg	right
RAC9	31.1	41.1	10.3	2	seeg	right
RAC10	34.7	41.3	11.4	2	seeg	right
RAC11	38.2	41.5	12.5	2	seeg	right
RAC12	41.8	41.7	13.6	2	seeg	right
RAC13	45.3	41.9	14.7	2	seeg	right
RAC14	48.9	42.1	15.8	2	seeg	right
RMC1	1.7	12.7	23.7	2	seeg	right
RMC2	5.4	12.9	23.6	2	seeg	right
RMC3	9.1	13.1	23.5	2	seeg	right
RMC4	12.8	13.3	23.4	2	seeg	right
RMC5	16.5	13.4	23.3	2	seeg	right
RMC6	20.2	13.6	23.2	2	seeg	right
RMC7	23.9	13.8	23.1	2	seeg	right
RMC8	27.6	14	23	2	seeg	right
RMC9	31.3	14.2	22.9	2	seeg	right
RMC10	35	14.4	22.8	2	seeg	right
RMC11	38.6	14.6	22.7	2	seeg	right
RMC12	42.3	14.8	22.6	2	seeg	right
RMC13	46	14.9	22.6	2	seeg	right
RMC14	49.7	15.1	22.4	2	seeg	right
RAOF1	4.5	48	-22	2	seeg	right
RAOF2	7.6	46.9	-19.4	2	seeg	right
RAOF3	10.7	45.9	-16.9	2	seeg	right
RAOF4	13.8	44.9	-14.3	2	seeg	right
RAOF5	16.9	43.9	-11.7	2	seeg	right
RAOF6	20	42.9	-9.1	2	seeg	right
RAOF7	23.1	41.9	-6.6	2	seeg	right
RAOF8	26.2	40.9	-4	2	seeg	right
RAOF9	29.3	39.9	-1.4	2	seeg	right
RAOF10	32.5	38.8	1.1	2	seeg	right
RAOF11	35.6	37.8	3.6	2	seeg	right
RAOF12	38.7	36.8	6	2	seeg	right
RAOF13	41.8	35.8	8.5	2	seeg	right
RAOF14	44.9	34.8	10.9	2	seeg	right
RAOF15	48	33.8	13.4	2	seeg	right
