name	x	y	z	size	group	hemisphere
LA1	-21.2	-4.5	-12.4	2	seeg	left
LA2	-24.9	-4.6	-11.9	2	seeg	left
LA3	-28.5	-4.8	-11.3	2	seeg	left
LA4	-32.1	-4.9	-10.8	2	seeg	left
LA5	-35.7	-5	-10.3	2	seeg	left
LA6	-39.4	-5.1	-9.8	2	seeg	left
LA7	-43	-5.3	-9.3	2	seeg	left
LA8	-46.6	-5.4	-8.8	2	seeg	left
LA9	-50.3	-5.6	-8.3	2	seeg	left
LA10	-53.9	-5.7	-7.8	2	seeg	left
LA11	-57.5	-5.8	-7.3	2	seeg	left
LA12	-61.1	-6	-6.8	2	seeg	left
LAH1	-25.1	-10.5	-10.6	2	seeg	left
LAH2	-28.8	-10.9	-10.8	2	seeg	left
LAH3	-32.4	-11.3	-11	2	seeg	left
LAH4	-36	-11.8	-11.2	2	seeg	left
LAH5	-39.7	-12.2	-11.4	2	seeg	left
LAH6	-43.3	-12.6	-11.5	2	seeg	left
LAH7	-46.9	-13.1	-11.7	2	seeg	left
LAH8	-50.6	-13.5	-11.9	2	seeg	left
LAH9	-54.2	-13.9	-12.1	2	seeg	left
LAH10	-57.8	-14.4	-12.3	2	seeg	left
LPH1	-24.8	-18.1	-9.2	2	seeg	left
LPH2	-28.3	-19.3	-8.9	2	seeg	left
LPH3	-31.7	-20.4	-8.6	2	seeg	left
LPH4	-35.2	-21.6	-8.2	2	seeg	left
LPH5	-38.6	-22.8	-7.9	2	seeg	left
LPH6	-42.1	-24	-7.6	2	seeg	left
LPH7	-45.5	-25.2	-7.2	2	seeg	left
LPH8	-49	-26.4	-6.9	2	seeg	left
LPH9	-52.4	-27.6	-6.6	2	seeg	left
LPH10	-55.8	-28.8	-6.2	2	seeg	left
LPH11	-59.3	-30	-5.9	2	seeg	left
LPH12	-62.7	-31.2	-5.6	2	seeg	left
LPH13	-66.2	-32.4	-5.2	2	seeg	left
LPH14	-69.6	-33.6	-4.9	2	seeg	left
LTP1	-29.8	19.9	-22.9	2	seeg	left
LTP2	-31.6	13.2	-21.3	2	seeg	left
LTP3	-33.4	6.4	-19.8	2	seeg	left
LTP4	-35.3	-0.3	-18.3	2	seeg	left
LTP5	-37.1	-6.4	-16.8	2	seeg	left
LTP6	-39	-12.5	-15.2	2	seeg	left
LTP7	-40.8	-18.7	-13.7	2	seeg	left
LTP8	-42.6	-24.8	-12.2	2	seeg	left
LTP9	-44.5	-31.2	-10.6	2	seeg	left
LTP10	-46.3	-37.6	-9.1	2	seeg	left
LTP11	-48.2	-43.9	-7.6	2	seeg	left
LTP12	-50	-50.3	-6.1	2	seeg	left
LTP13	-51.8	-56.7	-4.5	2	seeg	left
LTP14	-53.7	-63.1	-3	2	seeg	left
LTP15	-55.5	-69.4	-1.5	2	seeg	left
LTP16	-57.4	-75.8	0	2	seeg	left
LSTG1	-43.5	-11.7	-7	2	seeg	left
LSTG2	-46.1	-10.2	-5.3	2	seeg	left
LSTG3	-48.6	-8.6	-3.6	2	seeg	left
LSTG4	-51.2	-7	-1.9	2	seeg	left
LSTG5	-53.7	-5.5	-0.2	2	seeg	left
LSTG6	-56.3	-3.9	1.6	2	seeg	left
LAOF1	-1.5	49.5	-7.6	2	seeg	left
LAOF2	-4.9	47.7	-5.8	2	seeg	left
LAOF3	-8.2	45.9	-4.1	2	seeg	left
LAOF4	-11.6	44.1	-2.4	2	seeg	left
LAOF5	-14.9	42.4	-0.6	2	seeg	left
LAOF6	-18.3	40.6	1.2	2	seeg	left
LAOF7	-21.6	38.8	3	2	seeg	left
LAOF8	-25	37	4.8	2	seeg	left
LAOF9	-28.3	35.3	6.6	2	seeg	left
LAOF10	-31.7	33.5	8.5	2	seeg	left
LAOF11	-35	31.7	10.3	2	seeg	left
LAOF12	-38.4	29.9	12.1	2	seeg	left
LAOF13	-41.7	28.2	13.9	2	seeg	left
LAOF14	-45.1	26.4	15.8	2	seeg	left
LAOF15	-48.4	24.6	17.6	2	seeg	left
LAOF16	-51.7	22.8	19.4	2	seeg	left
LPOF1	-1	22.1	-10.2	2	seeg	left
LPOF2	-4.3	21.2	-8	2	seeg	left
LPOF3	-7.6	20.3	-5.8	2	seeg	left
LPOF4	-10.9	19.5	-3.6	2	seeg	left
LPOF5	-14.2	18.6	-1.3	2	seeg	left
LPOF6	-17.5	17.8	0.9	2	seeg	left
LPOF7	-20.8	16.9	3.3	2	seeg	left
LPOF8	-24.1	16	5.6	2	seeg	left
LPOF9	-27.4	15.2	8	2	seeg	left
LPOF10	-30.7	14.3	10.3	2	seeg	left
LPOF11	-34	13.4	12.6	2	seeg	left
LPOF12	-37.3	12.6	15	2	seeg	left
LPOF13	-40.7	11.7	17.3	2	seeg	left
LPOF14	-44	10.9	19.7	2	seeg	left
LPOF15	-47.3	10	22	2	seeg	left
LPOF16	-50.6	9.1	24.3	2	seeg	left
LPINS1	-33.1	4.7	-2.7	2	seeg	left
LPINS2	-32.2	-0.4	2.2	2	seeg	left
LPINS3	-31.3	-5.1	7.1	2	seeg	left
LPINS4	-30.4	-9.7	12.1	2	seeg	left
LPINS5	-29.5	-14.4	17.1	2	seeg	left
LPINS6	-28.6	-19	22	2	seeg	left
LPINS7	-27.7	-23.7	27	2	seeg	left
LPINS8	-26.8	-28.5	31.9	2	seeg	left
LPINS9	-25.9	-33.3	36.9	2	seeg	left
LPINS10	-25	-38.2	41.9	2	seeg	left
LPINS11	-24.1	-43	46.8	2	seeg	left
LPINS12	-23.2	-47.8	51.8	2	seeg	left
LPINS13	-22.3	-52.7	56.7	2	seeg	left
LPINS14	-21.4	-57.5	61.7	2	seeg	left
LPINS15	-20.5	-62.3	66.7	2	seeg	left
LPINS16	-19.6	-67.2	71.6	2	seeg	left
LAC1	-3.9	35.6	-15	2	seeg	left
LAC2	-4.5	35.6	-11	2	seeg	left
LAC3	-5	35.7	-7.1	2	seeg	left
LAC4	-5.5	35.7	-3.1	2	seeg	left
LAC5	-6.1	35.8	0.9	2	seeg	left
LAC6	-6.6	35.8	5	2	seeg	left
LAC7	-7.1	35.9	9.2	2	seeg	left
LAC8	-7.7	35.9	13.3	2	seeg	left
LAC9	-8.2	36	17.5	2	seeg	left
LAC10	-8.7	36	21.6	2	seeg	left
LAC11	-9.3	36.1	25.8	2	seeg	left
LAC12	-9.8	36.1	29.9	2	seeg	left
LAC13	-10.3	36.2	34.1	2	seeg	left
LAC14	-10.9	36.2	38.2	2	seeg	left
LAC15	-11.4	36.3	42.3	2	seeg	left
LAC16	-11.9	36.3	46.5	2	seeg	left
LMC1	-1.7	19.1	24	2	seeg	left
LMC2	-2	19	27.8	2	seeg	left
LMC3	-2.4	18.9	31.6	2	seeg	left
LMC4	-2.7	18.8	35.5	2	seeg	left
LMC5	-3	18.7	39.3	2	seeg	left
LMC6	-3.3	18.6	43.1	2	seeg	left
LMC7	-3.6	18.5	46.9	2	seeg	left
LMC8	-3.9	18.3	50.7	2	seeg	left
LMC9	-4.2	18.2	54.5	2	seeg	left
LMC10	-4.5	18.1	58.3	2	seeg	left
LMC11	-4.8	18	62.1	2	seeg	left
LMC12	-5.1	17.9	65.9	2	seeg	left
